WD-40 Price to Free Cash Flow Ratio Historical Data,WD-40 Price to Free Cash Flow Ratio Historical Data,WD-40 Price to Free Cash Flow Ratio Historical Data,WD-40 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,235.94,,41.81
2024-11-30,277.09,$5.64,49.1
2024-08-31,261.92,$6.52,40.19
2024-05-31,223.12,$7.56,29.52
2024-02-29,265.5,$8.65,30.68
2023-11-30,238.49,$8.04,29.68
2023-08-31,211.0,$6.78,31.14
2023-05-31,185.55,$3.34,55.56
2023-02-28,168.9,$0.89,189.9
2022-11-30,162.34,$0.54,300.29
2022-08-31,182.39,$-0.37,0.0
2022-05-31,181.17,$1.28,141.19
2022-02-28,202.49,$2.59,78.08
2021-11-30,213.71,$3.40,62.9
2021-08-31,227.57,$5.12,44.48
2021-05-31,231.82,$6.09,38.08
2021-02-28,294.4,$5.54,53.17
2020-11-30,239.58,$4.71,50.9
2020-08-31,191.89,$3.92,49.01
2020-05-31,179.51,$3.33,53.98
2020-02-29,160.76,$3.66,43.92
2019-11-30,179.35,$3.74,47.98
2019-08-31,168.74,$3.61,46.72
2019-05-31,144.21,$3.56,40.49
2019-02-28,164.49,$3.81,43.14
2018-11-30,159.99,$3.52,45.5
2018-08-31,161.97,$3.79,42.73
2018-05-31,125.13,$3.37,37.1
2018-02-28,112.98,$3.14,35.96
2017-11-30,107.72,$3.08,35.0
2017-08-31,97.87,$2.54,38.55
2017-05-31,94.52,$2.81,33.67
2017-02-28,97.81,$3.96,24.73
2016-11-30,95.57,$3.57,26.75
2016-08-31,104.42,$4.26,24.51
2016-05-31,97.92,$4.08,24.0
2016-02-29,94.56,$3.21,29.42
2015-11-30,86.11,$3.83,22.47
2015-08-31,72.71,$3.39,21.47
2015-05-31,72.94,$3.19,22.86
2015-02-28,69.89,$2.23,31.29
2014-11-30,65.21,$2.48,26.3
2014-08-31,58.57,$2.31,25.36
2014-05-31,61.25,$2.21,27.71
2014-02-28,61.59,$2.59,23.76
2013-11-30,63.29,$2.54,24.94
2013-08-31,48.7,$3.13,15.56
2013-05-31,45.16,$2.65,17.06
2013-02-28,44.88,$2.46,18.23
2012-11-30,38.86,$2.13,18.23
2012-08-31,39.91,$1.97,20.23
2012-05-31,38.02,$1.98,19.19
2012-02-29,34.79,$2.08,16.74
2011-11-30,33.2,$2.19,15.13
2011-08-31,32.79,$1.61,20.39
2011-05-31,33.57,$2.19,15.32
2011-02-28,32.0,$2.31,13.83
2010-11-30,30.56,$2.53,12.08
2010-08-31,27.3,$3.28,8.32
2010-05-31,25.16,$2.99,8.41
2010-02-28,23.98,$2.69,8.9
2009-11-30,24.42,$2.88,8.49
