TrueCar Price to Free Cash Flow Ratio Historical Data,TrueCar Price to Free Cash Flow Ratio Historical Data,TrueCar Price to Free Cash Flow Ratio Historical Data,TrueCar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.76,,0.0
2024-12-31,3.73,$-0.00,0.0
2024-09-30,3.45,$-0.14,0.0
2024-06-30,3.13,$-0.10,0.0
2024-03-31,3.39,$-0.21,0.0
2023-12-31,3.46,$-0.38,0.0
2023-09-30,2.07,$-0.42,0.0
2023-06-30,2.26,$-0.56,0.0
2023-03-31,2.3,$-0.51,0.0
2022-12-31,2.51,$-0.45,0.0
2022-09-30,1.51,$-0.36,0.0
2022-06-30,2.59,$-0.27,0.0
2022-03-31,3.95,$-0.10,0.0
2021-12-31,3.4,$0.04,94.44
2021-09-30,4.16,$0.21,19.67
2021-06-30,5.65,$0.40,13.97
2021-03-31,4.79,$0.28,17.34
2020-12-31,4.2,$0.27,15.48
2020-09-30,5.0,$0.24,20.87
2020-06-30,2.58,$0.04,60.28
2020-03-31,2.42,$0.07,32.75
2019-12-31,24.38,$0.10,253.69
2019-09-30,19.21,$0.06,342.42
2019-06-30,20.21,$0.11,179.01
2019-03-31,20.57,$0.15,138.33
2018-12-31,16.51,$0.09,193.55
2018-09-30,18.43,$0.04,525.07
2018-06-30,22.24,$-0.01,0.0
2018-03-31,24.46,$0.01,2264.81
2017-12-31,20.94,$0.02,861.73
2017-09-30,18.47,$0.04,518.82
2017-06-30,14.04,$0.00,0.0
2017-03-31,15.49,$-0.09,0.0
2016-12-31,12.76,$-0.16,0.0
2016-09-30,12.32,$-0.33,0.0
2016-06-30,8.82,$-0.32,0.0
2016-03-31,9.59,$-0.48,0.0
2015-12-31,9.8,$-0.50,0.0
2015-09-30,9.4,$-0.31,0.0
2015-06-30,11.69,$-0.33,0.0
2015-03-31,12.11,$-0.20,0.0
2014-12-31,10.13,$-0.18,0.0
2014-09-30,8.94,$-0.24,0.0
2014-06-30,9.14,$-0.21,0.0
2014-03-31,9.4,$-0.11,0.0
2013-12-31,8.24,$-0.21,0.0
2013-09-30,7.31,$-0.19,0.0
2013-06-30,8.08,$-0.16,0.0
