CuriosityStream Price to Free Cash Flow Ratio Historical Data,CuriosityStream Price to Free Cash Flow Ratio Historical Data,CuriosityStream Price to Free Cash Flow Ratio Historical Data,CuriosityStream Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.0,,66.08
2024-09-30,1.89,$0.05,41.58
2024-06-30,1.1,$-0.05,0.0
2024-03-31,1.01,$-0.17,0.0
2023-12-31,0.51,$-0.31,0.0
2023-09-30,0.67,$-0.42,0.0
2023-06-30,0.88,$-0.61,0.0
2023-03-31,1.28,$-0.64,0.0
2022-12-31,1.08,$-0.75,0.0
2022-09-30,1.38,$-1.21,0.0
2022-06-30,1.6,$-1.32,0.0
2022-03-31,2.75,$-1.39,0.0
2021-12-31,5.62,$-1.42,0.0
2021-09-30,9.99,$-0.93,0.0
2021-06-30,12.93,$-1.11,0.0
2021-03-31,12.85,$-1.40,0.0
2020-12-31,13.22,$-2.85,0.0
