NiSun Enterprise Development Group Price to Free Cash Flow Ratio Historical Data,NiSun Enterprise Development Group Price to Free Cash Flow Ratio Historical Data,NiSun Enterprise Development Group Price to Free Cash Flow Ratio Historical Data,NiSun Enterprise Development Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.15,,0.0
2023-12-31,4.0,$-10.03,0.0
2023-06-30,3.69,0,0.0
2022-12-31,5.7,$-6.50,0.0
2022-06-30,6.31,0,0.0
2021-12-31,32.1,$10.03,3.2
2021-09-30,118.0,0,0.0
2021-06-30,107.0,$6.50,16.47
2021-03-31,165.8,0,0.0
2020-12-31,182.1,0,0.0
2019-12-31,58.0,0,0.0
