Vitesse Energy Price to Free Cash Flow Ratio Historical Data,Vitesse Energy Price to Free Cash Flow Ratio Historical Data,Vitesse Energy Price to Free Cash Flow Ratio Historical Data,Vitesse Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.95,,19.86
2024-12-31,25.0,$1.21,20.73
2024-09-30,24.02,$0.62,38.79
2024-06-30,23.7,$-0.19,0.0
2024-03-31,23.73,$0.40,58.61
2023-12-31,21.89,$0.72,30.41
