Interface Price to Free Cash Flow Ratio Historical Data,Interface Price to Free Cash Flow Ratio Historical Data,Interface Price to Free Cash Flow Ratio Historical Data,Interface Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.76,,10.06
2024-12-31,24.35,$1.97,12.39
2024-09-30,18.96,$1.88,10.11
2024-06-30,14.67,$1.73,8.5
2024-03-31,16.79,$1.85,9.06
2023-12-31,12.59,$2.10,6.0
2023-09-30,9.78,$2.17,4.51
2023-06-30,8.75,$1.53,5.73
2023-03-31,8.08,$1.21,6.68
2022-12-31,9.8,$0.42,23.44
2022-09-30,8.92,$0.23,38.66
2022-06-30,12.43,$0.24,52.57
2022-03-31,13.45,$0.28,47.98
2021-12-31,15.79,$0.99,15.89
2021-09-30,14.99,$0.89,16.87
2021-06-30,15.13,$1.40,10.78
2021-03-31,12.33,$1.94,6.35
2020-12-31,10.37,$0.96,10.81
2020-09-30,6.04,$1.38,4.37
2020-06-30,8.02,$1.33,6.04
2020-03-31,7.44,$1.02,7.29
2019-12-31,16.17,$1.14,14.2
2019-09-30,14.02,$0.74,19.07
2019-06-30,14.8,$0.57,26.15
2019-03-31,14.73,$0.31,47.56
2018-12-31,13.65,$0.62,22.03
2018-09-30,22.28,$0.94,23.78
2018-06-30,21.84,$0.88,24.86
2018-03-31,23.91,$0.97,24.64
2017-12-31,23.8,$1.17,20.26
2017-09-30,20.67,$0.92,22.49
2017-06-30,18.48,$0.85,21.84
2017-03-31,17.86,$1.12,15.94
2016-12-31,17.34,$1.07,16.14
2016-09-30,15.54,$1.35,11.51
2016-06-30,14.15,$1.25,11.33
2016-03-31,17.15,$1.18,14.59
2015-12-31,17.65,$1.50,11.75
2015-09-30,20.62,$1.12,18.46
2015-06-30,23.0,$1.02,22.61
2015-03-31,19.05,$0.55,34.61
2014-12-31,15.07,$0.11,134.27
2014-09-30,14.73,$-0.03,0.0
2014-06-30,17.15,$-0.05,0.0
2014-03-31,18.67,$-0.19,0.0
2013-12-31,19.93,$-0.38,0.0
2013-09-30,17.98,$-0.47,0.0
2013-06-30,15.35,$-0.60,0.0
2013-03-31,17.36,$-0.51,0.0
2012-12-31,14.5,$0.07,214.14
2012-09-30,11.9,$0.34,35.47
2012-06-30,12.25,$0.43,28.59
2012-03-31,12.52,$0.45,27.91
2011-12-31,10.34,$-0.21,0.0
2011-09-30,10.61,$-0.28,0.0
2011-06-30,17.3,$-0.39,0.0
2011-03-31,16.5,$-0.17,0.0
2010-12-31,13.97,$0.24,57.31
2010-09-30,12.66,$0.36,35.27
2010-06-30,9.55,$0.42,22.72
2010-03-31,10.29,$0.81,12.77
2009-12-31,7.38,$0.72,10.23
