Servotronics Price to Free Cash Flow Ratio Historical Data,Servotronics Price to Free Cash Flow Ratio Historical Data,Servotronics Price to Free Cash Flow Ratio Historical Data,Servotronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.9,,190.89
2024-09-30,11.3,$0.06,197.9
2024-06-30,11.9,$0.74,15.99
2024-03-31,13.75,$-0.61,0.0
2023-12-31,12.5,$-1.81,0.0
2023-09-30,11.01,$-2.46,0.0
2023-06-30,13.75,$-2.67,0.0
2023-03-31,10.6,$-1.47,0.0
2022-12-31,10.56,$-0.65,0.0
2022-09-30,11.27,$-1.22,0.0
2022-06-30,11.25,$-0.01,0.0
2022-03-31,14.65,$1.18,12.46
2021-12-31,12.68,$1.79,7.09
2021-09-30,11.61,$2.04,5.69
2021-06-30,8.54,$1.27,6.74
2021-03-31,8.57,$0.69,12.43
2020-12-31,8.49,$0.04,209.63
2020-09-30,7.79,$0.18,43.62
2020-06-30,7.6,$-0.63,0.0
2020-03-31,6.79,$-1.46,0.0
2019-12-31,10.06,$-1.21,0.0
2019-09-30,9.9,$-0.63,0.0
2019-06-30,9.6,$-0.13,0.0
2019-03-31,12.17,$-0.22,0.0
2018-12-31,9.95,$-0.44,0.0
2018-09-30,10.84,$0.32,33.94
2018-06-30,9.16,$0.41,22.48
2018-03-31,9.73,$0.43,22.86
2017-12-31,10.94,$0.64,17.02
2017-09-30,8.42,$0.09,95.3
2017-06-30,9.22,$0.23,39.79
2017-03-31,10.75,$0.69,15.5
2016-12-31,9.74,$0.63,15.44
2016-09-30,10.87,$0.44,24.9
2016-06-30,9.54,$0.26,36.62
2016-03-31,7.03,$0.21,33.46
2015-12-31,7.92,$0.04,181.21
2015-09-30,6.84,$-0.39,0.0
2015-06-30,6.31,$-0.59,0.0
2015-03-31,6.39,$-0.89,0.0
2014-12-31,6.02,$-0.92,0.0
2014-09-30,7.17,$-0.71,0.0
2014-06-30,6.45,$-0.21,0.0
2014-03-31,7.18,$0.08,90.21
2013-12-31,7.51,$0.01,743.53
2013-09-30,8.08,$0.32,25.0
2013-06-30,7.23,$0.54,13.34
2013-03-31,7.18,$-0.04,0.0
2012-12-31,7.09,$0.38,18.79
2012-09-30,7.68,$0.31,24.46
2012-06-30,7.61,$0.18,41.84
2012-03-31,8.74,$1.08,8.08
2011-12-31,7.87,$0.95,8.32
2011-09-30,7.43,$1.00,7.45
2011-06-30,7.68,$1.16,6.6
2011-03-31,7.4,$0.47,15.7
2009-12-31,7.85,$0.24,32.08
