Turning Point Brands Price to Free Cash Flow Ratio Historical Data,Turning Point Brands Price to Free Cash Flow Ratio Historical Data,Turning Point Brands Price to Free Cash Flow Ratio Historical Data,Turning Point Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,57.81,,17.93
2024-12-31,60.1,$3.22,18.64
2024-09-30,43.15,$3.69,11.69
2024-06-30,32.03,$3.43,9.33
2024-03-31,29.18,$3.47,8.42
2023-12-31,26.15,$2.99,8.75
2023-09-30,22.88,$2.56,8.93
2023-06-30,23.73,$2.38,9.99
2023-03-31,20.7,$1.40,14.78
2022-12-31,21.25,$1.24,17.07
2022-09-30,20.8,$1.22,17.06
2022-06-30,26.51,$1.28,20.73
2022-03-31,33.15,$2.21,14.97
2021-12-31,36.76,$2.78,13.25
2021-09-30,46.39,$2.35,19.72
2021-06-30,44.42,$2.53,17.57
2021-03-31,50.56,$1.98,25.53
2020-12-31,43.14,$1.64,26.36
2020-09-30,26.98,$1.93,14.0
2020-06-30,24.05,$1.12,21.47
2020-03-31,20.34,$1.46,13.95
2019-12-31,27.48,$1.42,19.29
2019-09-30,22.12,$1.37,16.09
2019-06-30,46.89,$1.28,36.77
2019-03-31,44.08,$0.79,55.56
2018-12-31,26.01,$0.55,47.66
2018-09-30,39.55,$0.40,98.17
2018-06-30,30.4,$1.37,22.15
2018-03-31,18.51,$1.96,9.42
2017-12-31,20.07,$1.42,14.16
2017-09-30,16.11,$1.40,11.48
2017-06-30,14.54,$1.22,11.96
2017-03-31,14.79,$0.19,77.5
