Flushing Financial Price to Free Cash Flow Ratio Historical Data,Flushing Financial Price to Free Cash Flow Ratio Historical Data,Flushing Financial Price to Free Cash Flow Ratio Historical Data,Flushing Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.15,,38.99
2024-12-31,14.28,$0.34,42.34
2024-09-30,14.4,$0.97,14.9
2024-06-30,12.78,$1.13,11.29
2024-03-31,12.03,$1.14,10.54
2023-12-31,15.45,$0.97,15.89
2023-09-30,12.14,$0.89,13.63
2023-06-30,11.18,$1.18,9.51
2023-03-31,13.29,$0.99,13.38
2022-12-31,17.08,$2.64,6.47
2022-09-30,16.89,$2.89,5.85
2022-06-30,18.34,$2.99,6.14
2022-03-31,19.1,$3.68,5.19
2021-12-31,20.57,$2.69,7.64
2021-09-30,18.96,$2.63,7.21
2021-06-30,17.81,$2.45,7.28
2021-03-31,17.49,$2.26,7.75
2020-12-31,13.59,$2.35,5.79
2020-09-30,8.48,$1.85,4.59
2020-06-30,9.12,$1.95,4.69
2020-03-31,10.38,$2.09,4.98
2019-12-31,16.54,$2.10,7.87
2019-09-30,15.32,$2.36,6.48
2019-06-30,16.66,$2.51,6.64
2019-03-31,16.29,$2.46,6.61
2018-12-31,15.85,$2.55,6.23
2018-09-30,17.8,$2.86,6.21
2018-06-30,18.89,$2.69,7.03
2018-03-31,19.37,$2.48,7.81
2017-12-31,19.62,$2.55,7.7
2017-09-30,21.07,$2.24,9.43
2017-06-30,19.85,$1.76,11.29
2017-03-31,18.8,$2.91,6.45
2016-12-31,20.43,$2.93,6.96
2016-09-30,16.39,$2.64,6.2
2016-06-30,13.63,$2.84,4.8
2016-03-31,14.71,$2.15,6.84
2015-12-31,14.61,$1.85,7.9
2015-09-30,13.41,$1.96,6.86
2015-06-30,13.96,$1.99,7.01
2015-03-31,13.23,$1.56,8.47
2014-12-31,13.25,$1.78,7.45
2014-09-30,11.86,$1.93,6.13
2014-06-30,13.23,$2.14,6.19
2014-03-31,13.46,$2.27,5.94
2013-12-31,13.13,$2.45,5.36
2013-09-30,11.63,$2.35,4.94
2013-06-30,10.3,$2.47,4.17
2013-03-31,10.52,$2.40,4.38
2012-12-31,9.45,$2.29,4.12
2012-09-30,9.65,$2.31,4.17
2012-06-30,8.25,$2.28,3.61
2012-03-31,8.06,$2.11,3.82
2011-12-31,7.49,$1.96,3.82
2011-09-30,6.34,$2.29,2.76
2011-06-30,7.54,$2.01,3.76
2011-03-31,8.56,$1.98,4.33
2010-12-31,7.96,$2.11,3.77
2010-09-30,6.51,$1.10,5.93
2010-06-30,6.81,$1.02,6.69
2010-03-31,6.97,$1.19,5.87
2009-12-31,6.14,$1.09,5.63
