SunLink Health Systems Price to Free Cash Flow Ratio Historical Data,SunLink Health Systems Price to Free Cash Flow Ratio Historical Data,SunLink Health Systems Price to Free Cash Flow Ratio Historical Data,SunLink Health Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.02,,0.0
2024-12-31,0.88,$313.14,0.0
2024-09-30,0.8,$-0.51,0.0
2024-06-30,0.8,$-0.64,0.0
2024-03-31,0.73,$-0.59,0.0
2023-12-31,0.93,$-344.27,0.0
2023-09-30,0.8,$-0.30,0.0
2023-06-30,0.91,$-0.33,0.0
2023-03-31,1.1,$-0.26,0.0
2022-12-31,0.61,$-0.46,0.0
2022-09-30,0.96,$-0.58,0.0
2022-06-30,1.0,$-0.46,0.0
2022-03-31,1.46,$-0.56,0.0
2021-12-31,1.54,$-0.41,0.0
2021-09-30,2.6,$-0.35,0.0
2021-06-30,3.42,$-0.17,0.0
2021-03-31,2.72,$0.64,4.28
2020-12-31,1.27,$0.63,2.03
2020-09-30,0.95,$0.56,1.69
2020-06-30,0.9,$0.48,1.86
2020-03-31,0.68,$-0.22,0.0
2019-12-31,1.07,$-0.34,0.0
2019-09-30,1.13,$-0.32,0.0
2019-06-30,1.47,$-0.27,0.0
2019-03-31,1.59,$-0.14,0.0
2018-12-31,1.14,$-0.11,0.0
2018-09-30,1.33,$-0.08,0.0
2018-06-30,1.29,$-0.13,0.0
2018-03-31,1.37,$0.26,5.32
2017-12-31,1.59,$0.22,7.26
2017-09-30,1.5,$0.13,11.89
2017-06-30,1.66,$-0.19,0.0
2017-03-31,1.55,$-0.69,0.0
2016-12-31,1.21,$-0.51,0.0
2016-09-30,1.23,$-0.42,0.0
2016-06-30,0.5,$-0.20,0.0
2016-03-31,0.49,$-0.01,0.0
2015-12-31,0.92,$0.07,12.78
2015-09-30,1.68,$0.18,9.2
2015-06-30,1.51,$0.17,8.64
2015-03-31,1.7,$0.04,46.32
2014-12-31,1.37,$-0.14,0.0
2014-09-30,1.47,$-0.13,0.0
2014-06-30,1.22,$0.23,5.32
2014-03-31,1.56,$0.17,9.09
2013-12-31,0.88,$-0.35,0.0
2013-09-30,0.77,$-0.18,0.0
2013-06-30,0.83,$-0.74,0.0
2013-03-31,0.9,$-0.43,0.0
2012-12-31,1.19,$0.17,7.19
2012-09-30,1.52,$-0.05,0.0
2012-06-30,1.2,$0.11,10.51
2012-03-31,1.18,$0.69,1.72
2011-12-31,1.64,$0.38,4.35
2011-09-30,1.95,$0.02,81.59
2011-06-30,1.9,$0.26,7.19
2011-03-31,1.61,$-0.36,0.0
2010-12-31,1.62,$0.06,25.92
2010-09-30,2.1,$0.40,5.26
2010-06-30,2.26,$0.18,12.74
2010-03-31,3.9,$0.49,7.99
2009-12-31,1.84,$0.26,7.07
