TPG Price to Free Cash Flow Ratio Historical Data,TPG Price to Free Cash Flow Ratio Historical Data,TPG Price to Free Cash Flow Ratio Historical Data,TPG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,50.49,,36.54
2024-12-31,62.84,$1.38,45.47
2024-09-30,57.56,$0.16,352.48
2024-06-30,41.45,$2.22,18.64
2024-03-31,44.7,$3.27,13.66
2023-12-31,43.17,$2.21,19.5
2023-09-30,30.12,$5.85,5.15
2023-06-30,29.26,$3.90,7.49
2023-03-31,29.33,$2.25,13.02
2022-12-31,27.83,$4.45,6.26
