Rave Restaurant Price to Free Cash Flow Ratio Historical Data,Rave Restaurant Price to Free Cash Flow Ratio Historical Data,Rave Restaurant Price to Free Cash Flow Ratio Historical Data,Rave Restaurant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.77,,11.36
2024-12-31,2.58,$0.24,10.58
2024-09-30,2.03,$0.18,11.49
2024-06-30,1.98,$0.18,10.86
2024-03-31,2.19,$0.16,13.39
2023-12-31,2.23,$0.13,16.75
2023-09-30,2.37,$0.14,17.52
2023-06-30,2.02,$0.16,12.5
2023-03-31,1.44,$0.13,11.08
2022-12-31,1.58,$0.12,13.14
2022-09-30,1.4,$0.16,8.78
2022-06-30,1.09,$0.07,14.87
2022-03-31,1.07,$0.12,9.07
2021-12-31,1.01,$0.09,11.41
2021-09-30,1.31,$0.05,24.39
2021-06-30,1.48,$0.07,21.02
2021-03-31,1.42,$0.01,0.0
2020-12-31,0.91,$-0.02,0.0
2020-09-30,0.44,$-0.04,0.0
2020-06-30,0.75,$-0.03,0.0
2020-03-31,0.75,$-0.05,0.0
2019-12-31,1.65,$-0.02,0.0
2019-09-30,2.57,$0.01,0.0
2019-06-30,3.08,$0.04,78.77
2019-03-31,1.54,$0.06,24.72
2018-12-31,0.88,$0.02,37.34
2018-09-30,1.43,$-0.05,0.0
2018-06-30,1.38,$-0.21,0.0
2018-03-31,1.23,$-0.42,0.0
2017-12-31,1.46,$-0.52,0.0
2017-09-30,1.81,$-0.45,0.0
2017-06-30,2.01,$-0.48,0.0
2017-03-31,2.22,$-0.32,0.0
2016-12-31,1.88,$-0.26,0.0
2016-09-30,3.05,$-0.45,0.0
2016-06-30,4.0,$-0.55,0.0
2016-03-31,5.32,$-0.88,0.0
2015-12-31,6.39,$-0.76,0.0
2015-09-30,8.5,$-0.59,0.0
2015-06-30,13.05,$-0.46,0.0
2015-03-31,13.96,$-0.06,0.0
2014-12-31,7.1,$-0.21,0.0
2014-09-30,7.99,$-0.27,0.0
2014-06-30,6.23,$-0.22,0.0
2014-03-31,6.04,$-0.35,0.0
2013-12-31,8.06,$-0.20,0.0
2013-09-30,7.8,$-0.24,0.0
2013-06-30,5.73,$-0.16,0.0
2013-03-31,4.41,$-0.08,0.0
2012-12-31,3.43,$-0.17,0.0
2012-09-30,2.92,$-0.16,0.0
2012-06-30,2.73,$-0.16,0.0
2012-03-31,4.82,$-0.12,0.0
2011-12-31,5.5,$-0.03,0.0
2011-09-30,3.38,$-0.01,0.0
2011-06-30,2.98,$-0.04,0.0
2011-03-31,2.01,$-0.15,0.0
2010-12-31,1.95,$-0.10,0.0
2010-09-30,1.89,$0.02,116.67
2010-06-30,1.85,0,0.0
2010-03-31,2.05,$0.06,34.45
2009-12-31,1.6,$-0.03,0.0
