"BK TECHNOLOGIES, INC Price to Free Cash Flow Ratio Historical Data","BK TECHNOLOGIES, INC Price to Free Cash Flow Ratio Historical Data","BK TECHNOLOGIES, INC Price to Free Cash Flow Ratio Historical Data","BK TECHNOLOGIES, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.95,,26.39
2024-09-30,21.77,$1.21,17.98
2024-06-30,12.8,$0.37,34.3
2024-03-31,14.6,$-0.41,0.0
2023-12-31,12.23,$-0.13,0.0
2023-09-30,12.42,$-0.26,0.0
2023-06-30,16.56,$-1.21,0.0
2023-03-31,2.85,$-2.97,0.0
2022-12-31,3.32,$-3.18,0.0
2022-09-30,2.41,$-3.55,0.0
2022-06-30,2.62,$-3.64,0.0
2022-03-31,2.49,$-2.71,0.0
2021-12-31,2.33,$-2.89,0.0
2021-09-30,2.71,$-1.37,0.0
2021-06-30,3.0,$-0.87,0.0
2021-03-31,3.96,$0.68,5.8
2020-12-31,2.87,$1.39,2.06
2020-09-30,2.73,$-0.32,0.0
2020-06-30,3.15,$0.38,8.23
2020-03-31,1.54,$-0.40,0.0
2019-12-31,2.83,$-1.94,0.0
2019-09-30,3.07,$0.35,8.78
2019-06-30,3.9,$0.29,13.27
2019-03-31,3.84,$1.47,2.6
2018-12-31,3.37,$1.45,2.33
2018-09-30,3.62,$-0.19,0.0
2018-06-30,3.29,$-0.36,0.0
2018-03-31,3.5,$-1.80,0.0
2017-12-31,3.13,$-1.07,0.0
2017-09-30,3.15,$0.56,5.62
2017-06-30,3.27,$0.50,6.51
2017-03-31,4.33,$2.07,2.09
2016-12-31,4.04,$3.37,1.2
2016-09-30,4.46,$1.36,3.28
2016-06-30,4.18,$0.68,6.16
2016-03-31,3.65,$-0.41,0.0
2015-12-31,3.18,$-1.45,0.0
2015-09-30,3.55,$-0.13,0.0
2015-06-30,3.98,$0.88,4.53
2015-03-31,4.93,$0.93,5.29
2014-12-31,3.88,$1.19,3.26
2014-09-30,4.17,$1.13,3.68
2014-06-30,3.12,$1.18,2.65
2014-03-31,2.54,$1.24,2.05
2013-12-31,2.72,$0.48,5.65
2013-09-30,2.13,$0.50,4.26
2013-06-30,2.42,$0.51,4.78
2013-03-31,1.83,$0.39,4.76
2012-12-31,1.36,$1.43,0.95
2012-09-30,1.43,$1.15,1.24
2012-06-30,1.32,$0.91,1.46
2012-03-31,1.32,$0.07,17.62
2011-12-31,0.89,$-0.13,0.0
2011-09-30,0.79,$-0.48,0.0
2011-06-30,1.12,$-1.99,0.0
2011-03-31,1.28,$-0.93,0.0
2010-12-31,1.45,$-1.75,0.0
2010-09-30,1.69,$-1.41,0.0
2010-06-30,1.75,$0.90,1.95
2010-03-31,3.01,$0.59,5.1
2009-12-31,2.54,$1.33,1.91
