Citigroup Price to Free Cash Flow Ratio Historical Data,Citigroup Price to Free Cash Flow Ratio Historical Data,Citigroup Price to Free Cash Flow Ratio Historical Data,Citigroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.82,,0.0
2024-12-31,70.39,$-13.37,0.0
2024-09-30,62.04,$-28.48,0.0
2024-06-30,62.27,$-12.21,0.0
2024-03-31,61.53,$-30.84,0.0
2023-12-31,49.57,$-40.87,0.0
2023-09-30,39.15,$-32.18,0.0
2023-06-30,43.32,$-40.63,0.0
2023-03-31,43.65,$-1.16,0.0
2022-12-31,41.68,$9.93,4.2
2022-09-30,37.97,$-2.42,0.0
2022-06-30,41.5,$16.57,2.51
2022-03-31,47.68,$5.13,9.3
2021-12-31,53.51,$21.06,2.54
2021-09-30,61.73,$26.80,2.3
2021-06-30,61.77,$7.56,8.17
2021-03-31,63.06,$10.16,6.21
2020-12-31,52.98,$-12.81,0.0
2020-09-30,36.59,$-1.96,0.0
2020-06-30,42.94,$0.12,354.57
2020-03-31,35.0,$-4.00,0.0
2019-12-31,65.93,$-7.96,0.0
2019-09-30,56.62,$-15.43,0.0
2019-06-30,56.97,$-7.21,0.0
2019-03-31,50.62,$-5.25,0.0
2018-12-31,42.05,$13.39,3.14
2018-09-30,57.56,$8.86,6.5
2018-06-30,53.36,$6.73,7.93
2018-03-31,53.57,$-0.64,0.0
2017-12-31,58.81,$-4.36,0.0
2017-09-30,57.24,$6.50,8.81
2017-06-30,52.39,$2.58,20.29
2017-03-31,46.73,$16.89,2.77
2016-12-31,46.29,$17.88,2.59
2016-09-30,36.67,$8.48,4.32
2016-06-30,32.79,$13.54,2.42
2016-03-31,32.26,$11.51,2.8
2015-12-31,39.94,$12.34,3.24
2015-09-30,38.25,$16.28,2.35
2015-06-30,42.56,$12.14,3.51
2015-03-31,39.65,$5.37,7.39
2014-12-31,41.64,$14.35,2.9
2014-09-30,39.87,$12.21,3.27
2014-06-30,36.23,$13.37,2.71
2014-03-31,36.61,$21.33,1.72
2013-12-31,40.07,$19.88,2.02
2013-09-30,37.29,$12.43,3.0
2013-06-30,36.87,$9.25,3.99
2013-03-31,34.0,$0.84,40.35
2012-12-31,30.39,$-4.27,0.0
2012-09-30,25.13,$13.26,1.9
2012-06-30,21.04,$20.43,1.03
2012-03-31,28.05,$23.55,1.19
2011-12-31,20.19,$20.90,0.97
2011-09-30,19.65,$13.49,1.46
2011-06-30,31.93,$-0.73,0.0
2011-03-31,33.89,$0.17,196.89
2010-12-31,36.26,$12.11,2.99
2010-09-30,29.98,$-26.16,0.0
2010-06-30,28.83,$-0.46,0.0
2010-03-31,31.05,$-16.78,0.0
2009-12-31,25.38,$-41.80,0.0
