Ferroglobe Price to Free Cash Flow Ratio Historical Data,Ferroglobe Price to Free Cash Flow Ratio Historical Data,Ferroglobe Price to Free Cash Flow Ratio Historical Data,Ferroglobe Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.07,,4.94
2024-09-30,4.64,$0.82,5.64
2024-06-30,5.34,$0.72,7.39
2024-03-31,4.95,$0.84,5.89
2023-12-31,6.46,$0.50,12.97
2023-09-30,5.16,$1.03,5.03
2023-06-30,4.73,$1.38,3.43
2023-03-31,4.9,$2.18,2.25
2022-12-31,3.82,$1.86,2.05
2022-09-30,5.24,$1.37,3.83
2022-06-30,5.89,$0.92,6.39
2022-03-31,7.64,$0.06,122.38
2021-12-31,6.16,$-0.16,0.0
2021-09-30,8.63,$-0.27,0.0
2021-06-30,6.07,$0.55,10.97
2021-03-31,3.75,$0.30,12.3
2020-12-31,1.63,$0.73,2.22
2020-09-30,0.66,$0.82,0.81
2020-06-30,0.49,$-0.02,0.0
2020-03-31,0.45,$0.04,10.07
2019-12-31,0.93,$-0.38,0.0
2019-09-30,1.12,$-0.08,0.0
2019-06-30,1.69,$0.42,3.98
2019-03-31,2.03,$0.47,4.35
2018-12-31,1.58,$0.14,11.56
2018-09-30,8.1,$0.60,13.43
2018-06-30,8.44,$-0.04,0.0
2018-03-31,10.5,$0.19,55.01
2017-12-31,15.86,$0.44,35.99
2017-09-30,12.88,$-0.20,0.0
2017-06-30,11.7,$0.26,45.17
2017-03-31,10.11,$0.27,36.8
2016-12-31,10.6,$0.29,36.39
2016-09-30,8.78,$0.08,114.26
2016-06-30,8.21,$-0.11,0.0
2016-03-31,8.4,$-0.04,0.0
2015-09-30,11.45,$-0.00,0.0
2015-06-30,16.7,$0.16,101.72
2015-03-31,17.85,$0.11,161.72
2014-12-31,16.26,$0.16,99.02
2014-09-30,17.17,$0.27,62.85
2014-06-30,19.61,$0.58,33.68
2014-03-31,19.65,$0.71,27.53
2013-12-31,17.0,$0.58,29.19
2013-09-30,14.49,$0.24,60.2
2013-06-30,10.17,$-0.07,0.0
2013-03-31,12.95,$-0.15,0.0
2012-12-31,12.74,$-0.07,0.0
2012-09-30,13.92,$0.04,355.06
2012-06-30,12.23,$-0.03,0.0
2012-03-31,13.54,$-0.12,0.0
2011-12-31,12.19,$-0.03,0.0
2011-09-30,13.07,$-0.04,0.0
2011-06-30,20.17,$-0.01,0.0
2011-03-31,20.48,$0.78,26.14
2010-12-31,15.38,$-0.01,0.0
2010-09-30,12.51,$-0.13,0.0
2010-06-30,9.21,$0.09,107.55
