LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data,LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data,LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data,LyondellBasell Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,72.69,,11.97
2024-12-31,74.27,$6.07,12.23
2024-09-30,94.36,$4.85,19.45
2024-06-30,92.85,$7.85,11.83
2024-03-31,99.28,$8.23,12.06
2023-12-31,91.14,$10.46,8.71
2023-09-30,89.59,$10.78,8.31
2023-06-30,85.76,$9.81,8.74
2023-03-31,86.45,$10.08,8.58
2022-12-31,75.53,$12.89,5.86
2022-09-30,67.55,$16.67,4.05
2022-06-30,77.42,$18.61,4.16
2022-03-31,85.9,$19.69,4.36
2021-12-31,76.17,$17.17,4.44
2021-09-30,76.54,$11.38,6.73
2021-06-30,82.99,$7.69,10.79
2021-03-31,83.13,$5.41,15.37
2020-12-31,72.53,$4.36,16.63
2020-09-30,55.12,$4.17,13.22
2020-06-30,50.61,$6.50,7.79
2020-03-31,37.69,$5.91,6.37
2019-12-31,70.71,$6.42,11.01
2019-09-30,66.21,$6.77,9.78
2019-06-30,62.85,$5.72,10.98
2019-03-31,60.55,$7.35,8.24
2018-12-31,50.38,$8.65,5.82
2018-09-30,61.37,$9.74,6.3
2018-06-30,65.18,$10.28,6.34
2018-03-31,62.18,$9.99,6.22
2017-12-31,64.31,$9.17,7.01
2017-09-30,57.24,$9.18,6.24
2017-06-30,48.29,$8.05,6.0
2017-03-31,51.61,$6.86,7.52
2016-12-31,48.1,$8.01,6.01
2016-09-30,44.79,$6.76,6.63
2016-06-30,40.86,$7.97,5.13
2016-03-31,46.5,$8.81,5.28
2015-12-31,46.75,$9.45,4.95
2015-09-30,44.47,$11.04,4.03
2015-06-30,54.7,$10.18,5.38
2015-03-31,46.04,$10.31,4.46
2014-12-31,41.3,$8.73,4.73
2014-09-30,56.09,$8.02,6.99
2014-06-30,50.09,$7.04,7.11
2014-03-31,45.28,$5.87,7.71
2013-12-31,40.59,$5.74,7.07
2013-09-30,36.74,$5.18,7.09
2013-06-30,33.02,$6.99,4.72
2013-03-31,31.31,$5.97,5.24
2012-12-31,28.05,$6.46,4.34
2012-09-30,23.73,$4.39,5.4
2012-06-30,18.35,$3.49,5.25
2012-03-31,19.68,$4.47,4.4
2011-12-31,14.56,$3.29,4.43
2011-09-30,9.44,$4.86,1.94
2011-06-30,14.8,$4.40,3.37
2011-03-31,15.16,$2.68,5.66
