Regency Centers Price to Free Cash Flow Ratio Historical Data,Regency Centers Price to Free Cash Flow Ratio Historical Data,Regency Centers Price to Free Cash Flow Ratio Historical Data,Regency Centers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,72.04,,32.85
2024-12-31,73.93,$2.19,33.71
2024-09-30,71.56,$2.08,34.34
2024-06-30,61.07,$2.13,28.61
2024-03-31,58.81,$2.40,24.55
2023-12-31,64.36,$2.50,25.72
2023-09-30,56.53,$2.44,23.13
2023-06-30,58.14,$2.55,22.81
2023-03-31,56.97,$2.03,28.02
2022-12-31,57.58,$1.69,34.02
2022-09-30,49.11,$0.13,380.4
2022-06-30,53.52,$-0.45,0.0
2022-03-31,63.67,$0.23,274.69
2021-12-31,66.61,$0.53,126.76
2021-09-30,59.01,$2.37,24.93
2021-06-30,55.66,$2.72,20.46
2021-03-31,48.83,$2.10,23.21
2020-12-31,38.87,$1.78,21.84
2020-09-30,32.02,$1.71,18.77
2020-06-30,38.11,$0.66,57.34
2020-03-31,31.41,$1.05,29.81
2019-12-31,51.08,$1.18,43.13
2019-09-30,55.76,$1.26,44.36
2019-06-30,53.08,$2.28,23.31
2019-03-31,53.2,$1.75,30.47
2018-12-31,45.85,$1.76,26.09
2018-09-30,50.09,$0.56,88.82
2018-06-30,47.67,$0.41,117.68
2018-03-31,44.85,$0.65,68.49
2017-12-31,52.11,$-0.04,0.0
2017-09-30,46.36,$0.36,128.18
2017-06-30,46.44,$-0.30,0.0
2017-03-31,48.79,$-3.14,0.0
2016-12-31,50.3,$-2.67,0.0
2016-09-30,56.13,$-2.28,0.0
2016-06-30,60.28,$-2.05,0.0
2016-03-31,53.54,$0.61,88.02
2015-12-31,48.38,$0.37,130.55
2015-09-30,43.82,$-0.13,0.0
2015-06-30,41.27,$-0.06,0.0
2015-03-31,47.26,$-0.00,0.0
2014-12-31,43.97,$-0.79,0.0
2014-09-30,36.83,$-1.34,0.0
2014-06-30,37.78,$-1.34,0.0
2014-03-31,34.34,$-1.66,0.0
2013-12-31,30.85,$-0.77,0.0
2013-09-30,31.91,$-0.81,0.0
2013-06-30,33.24,$-1.07,0.0
2013-03-31,34.33,$-1.05,0.0
2012-12-31,30.3,$-0.71,0.0
2012-09-30,31.03,$0.35,89.14
2012-06-30,30.0,$0.36,83.2
2012-03-31,27.78,$0.75,36.88
2011-12-31,23.24,$0.74,31.59
2011-09-30,21.56,$0.23,92.45
2011-06-30,26.52,$0.55,48.03
2011-03-31,25.96,$0.56,46.07
2010-12-31,24.95,$0.58,42.94
2010-09-30,23.06,$3.48,6.63
2010-06-30,19.85,$3.66,5.43
2010-03-31,21.36,$3.58,5.96
2009-12-31,19.7,$3.05,6.47
