National CineMedia Price to Free Cash Flow Ratio Historical Data,National CineMedia Price to Free Cash Flow Ratio Historical Data,National CineMedia Price to Free Cash Flow Ratio Historical Data,National CineMedia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.82,,10.24
2024-12-31,6.64,$0.57,11.68
2024-09-30,7.05,$0.45,15.5
2024-06-30,4.39,$-0.11,0.0
2024-03-31,5.15,$-0.63,0.0
2023-12-31,4.14,$-0.20,0.0
2023-09-30,4.49,$-1.49,0.0
2023-06-30,3.37,$-0.50,0.0
2023-03-31,1.32,$-2.19,0.0
2022-12-31,2.2,$-5.86,0.0
2022-09-30,6.52,$-5.38,0.0
2022-06-30,8.98,$-9.73,0.0
2022-03-31,24.33,$-12.19,0.0
2021-12-31,26.39,$-12.63,0.0
2021-09-30,32.94,$-16.09,0.0
2021-06-30,45.99,$-15.09,0.0
2021-03-31,41.45,$-4.42,0.0
2020-12-31,33.07,$6.07,5.45
2020-09-30,23.59,$13.50,1.75
2020-06-30,25.25,$23.00,1.1
2020-03-31,26.99,$18.12,1.49
2019-12-31,58.86,$16.66,3.53
2019-09-30,64.69,$7.93,8.16
2019-06-30,50.45,$7.76,6.5
2019-03-31,53.01,$8.23,6.44
2018-12-31,47.67,$8.65,5.51
2018-09-30,76.07,$7.49,10.16
2018-06-30,59.2,$5.76,10.27
2018-03-31,35.74,$5.46,6.55
2017-12-31,45.83,$8.43,5.44
2017-09-30,44.9,$21.43,2.1
2017-06-30,46.06,$23.72,1.94
2017-03-31,76.15,$25.55,2.98
2016-12-31,87.27,$19.90,4.39
2016-09-30,85.95,$19.97,4.3
2016-06-30,89.08,$12.77,6.98
2016-03-31,86.13,$19.17,4.49
2015-12-31,87.65,$15.56,5.63
2015-09-30,73.79,$14.00,5.27
2015-06-30,86.43,$8.68,9.95
2015-03-31,80.68,$16.55,4.88
2014-12-31,75.66,$18.51,4.09
2014-09-30,75.21,$20.16,3.73
2014-06-30,89.43,$37.55,2.38
2014-03-31,75.53,$22.18,3.41
2013-12-31,96.05,$25.25,3.8
2013-09-30,89.64,$27.12,3.31
2013-06-30,79.31,$21.58,3.68
2013-03-31,73.14,$18.59,3.94
2012-12-31,64.55,$12.94,4.99
2012-09-30,73.61,$13.32,5.53
2012-06-30,67.17,$16.82,3.99
2012-03-31,66.67,$23.45,2.84
2011-12-31,53.27,$27.14,1.96
2011-09-30,61.31,$27.25,2.25
2011-06-30,70.37,$30.07,2.34
2011-03-31,76.74,$26.54,2.89
2010-12-31,80.95,$29.09,2.78
2010-09-30,72.01,$28.08,2.56
2010-06-30,66.29,$27.59,2.4
2010-03-31,68.02,$27.43,2.48
2009-12-31,64.71,$30.63,2.11
