Xcel Energy Price to Free Cash Flow Ratio Historical Data,Xcel Energy Price to Free Cash Flow Ratio Historical Data,Xcel Energy Price to Free Cash Flow Ratio Historical Data,Xcel Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.09,,0.0
2024-12-31,67.52,$-4.84,0.0
2024-09-30,65.3,$-3.23,0.0
2024-06-30,52.96,$-2.72,0.0
2024-03-31,52.76,$-2.32,0.0
2023-12-31,60.13,$-0.95,0.0
2023-09-30,55.11,$-0.80,0.0
2023-06-30,59.35,$-1.46,0.0
2023-03-31,63.85,$-1.16,0.0
2022-12-31,65.86,$-1.29,0.0
2022-09-30,59.7,$-1.40,0.0
2022-06-30,65.59,$-1.16,0.0
2022-03-31,66.4,$-1.29,0.0
2021-12-31,61.85,$-3.81,0.0
2021-09-30,56.71,$-4.62,0.0
2021-06-30,59.37,$-4.82,0.0
2021-03-31,59.54,$-5.15,0.0
2020-12-31,59.25,$-4.77,0.0
2020-09-30,60.92,$-3.82,0.0
2020-06-30,54.84,$-3.86,0.0
2020-03-31,52.55,$-3.53,0.0
2019-12-31,54.95,$-1.85,0.0
2019-09-30,55.8,$-2.15,0.0
2019-06-30,50.83,$-1.50,0.0
2019-03-31,47.7,$-1.79,0.0
2018-12-31,41.51,$-1.63,0.0
2018-09-30,39.47,$-0.82,0.0
2018-06-30,37.9,$-0.69,0.0
2018-03-31,37.4,$-0.12,0.0
2017-12-31,39.22,$-0.23,0.0
2017-09-30,38.29,$-0.53,0.0
2017-06-30,36.85,$-0.66,0.0
2017-03-31,35.43,$-0.54,0.0
2016-12-31,32.18,$-0.28,0.0
2016-09-30,32.25,$-1.40,0.0
2016-06-30,34.82,$-1.31,0.0
2016-03-31,32.26,$-1.49,0.0
2015-12-31,27.47,$-1.27,0.0
2015-09-30,26.84,$0.11,240.32
2015-06-30,24.16,$0.05,443.33
2015-03-31,25.88,$-0.19,0.0
2014-12-31,26.45,$-1.07,0.0
2014-09-30,22.2,$-1.24,0.0
2014-06-30,23.31,$-1.58,0.0
2014-03-31,21.75,$-1.80,0.0
2013-12-31,19.82,$-1.56,0.0
2013-09-30,19.39,$-1.58,0.0
2013-06-30,19.7,$-1.72,0.0
2013-03-31,20.45,$-1.34,0.0
2012-12-31,18.22,$-1.16,0.0
2012-09-30,18.71,$-0.73,0.0
2012-06-30,19.0,$-0.08,0.0
2012-03-31,17.54,$0.13,139.74
2011-12-31,18.13,$0.41,44.03
2011-09-30,16.04,$0.23,69.85
2011-06-30,15.63,$-0.39,0.0
2011-03-31,15.2,$-0.41,0.0
2010-12-31,14.83,$-0.51,0.0
2010-09-30,14.31,$-0.48,0.0
2010-06-30,12.7,$-0.21,0.0
2010-03-31,12.91,$-0.29,0.0
2009-12-31,12.77,$0.30,43.14
