Dianthus Therapeutics Price to Free Cash Flow Ratio Historical Data,Dianthus Therapeutics Price to Free Cash Flow Ratio Historical Data,Dianthus Therapeutics Price to Free Cash Flow Ratio Historical Data,Dianthus Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.44,,0.0
2024-12-31,21.8,$-2.35,0.0
2024-09-30,27.38,$-2.23,0.0
2024-06-30,25.88,$9.16,2.82
2024-03-31,30.0,$4.02,7.47
2023-12-31,10.4,$-7.17,0.0
2023-09-30,13.67,$-16.60,0.0
2023-06-30,12.13,$-40.62,0.0
2023-03-31,12.72,$-39.81,0.0
2022-12-31,6.32,$-33.42,0.0
2022-09-30,22.56,$-28.64,0.0
2022-06-30,19.2,$-18.79,0.0
2022-03-31,46.4,$-17.55,0.0
2021-12-31,70.88,$-17.70,0.0
2021-09-30,116.48,$-19.05,0.0
2021-06-30,156.48,$-17.82,0.0
2021-03-31,189.44,$-22.17,0.0
2020-12-31,125.44,$-23.47,0.0
2020-09-30,108.8,$-24.45,0.0
2020-06-30,120.16,$-26.44,0.0
2020-03-31,100.48,$-25.08,0.0
2019-12-31,242.56,$-26.01,0.0
2019-09-30,164.16,$-45.61,0.0
2019-06-30,236.0,$14.00,16.86
2019-03-31,263.52,$-50.86,0.0
