Ashland Price to Free Cash Flow Ratio Historical Data,Ashland Price to Free Cash Flow Ratio Historical Data,Ashland Price to Free Cash Flow Ratio Historical Data,Ashland Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.87,,26.14
2024-12-31,71.46,$2.14,33.44
2024-09-30,86.52,$6.50,13.31
2024-06-30,93.58,$6.82,13.72
2024-03-31,96.43,$6.69,14.41
2023-12-31,83.16,$6.68,12.45
2023-09-30,80.17,$2.50,32.07
2023-06-30,84.93,$3.60,23.58
2023-03-31,99.92,$1.69,59.19
2022-12-31,104.26,$1.39,74.81
2022-09-30,91.81,$2.34,39.25
2022-06-30,99.29,$2.03,48.96
2022-03-31,94.53,$4.93,19.19
2021-12-31,103.08,$5.08,20.28
2021-09-30,85.07,$6.00,14.18
2021-06-30,83.25,$4.57,18.2
2021-03-31,84.2,$3.65,23.05
2020-12-31,74.88,$3.57,20.95
2020-09-30,66.8,$1.62,41.16
2020-06-30,64.85,$1.11,58.28
2020-03-31,46.8,$0.10,463.79
2019-12-31,71.26,$-0.40,0.0
2019-09-30,71.47,$0.03,2212.62
2019-06-30,73.9,$1.17,63.22
2019-03-31,71.93,$1.28,56.14
2018-12-31,65.12,$1.59,40.84
2018-09-30,76.72,$1.38,55.8
2018-06-30,71.31,$0.16,460.1
2018-03-31,63.46,$0.52,121.73
2017-12-31,64.53,$0.85,75.74
2017-09-30,59.09,$0.17,338.42
2017-06-30,59.34,$1.25,47.54
2017-03-31,54.28,$-1.06,0.0
2016-12-31,47.76,$0.80,59.4
2016-09-30,50.5,$2.52,20.07
2016-06-30,49.98,$-1.22,0.0
2016-03-31,47.89,$-4.87,0.0
2015-12-31,44.73,$-6.99,0.0
2015-09-30,43.82,$-7.09,0.0
2015-06-30,53.09,$-3.48,0.0
2015-03-31,55.44,$3.15,17.62
2014-12-31,52.16,$4.74,11.0
2014-09-30,45.34,$4.29,10.56
2014-06-30,47.36,$5.15,9.19
2014-03-31,43.32,$4.83,8.96
2013-12-31,42.26,$4.19,10.08
2013-09-30,40.13,$4.93,8.15
2013-06-30,36.09,$2.59,13.95
2013-03-31,31.99,$1.65,19.39
2012-12-31,34.52,$2.65,13.04
2012-09-30,30.64,$-0.59,0.0
2012-06-30,29.57,$0.56,52.58
2012-03-31,25.96,$-0.50,0.0
2011-12-31,24.24,$-1.44,0.0
2011-09-30,18.65,$0.70,26.64
2011-06-30,27.21,$1.50,18.14
2011-03-31,24.26,$2.61,9.29
2010-12-31,21.31,$3.58,5.96
2010-09-30,20.38,$4.75,4.29
2010-06-30,19.34,$4.09,4.73
2010-03-31,21.92,$7.65,2.87
2009-12-31,16.43,$8.57,1.92
