Capital Bancorp Price to Free Cash Flow Ratio Historical Data,Capital Bancorp Price to Free Cash Flow Ratio Historical Data,Capital Bancorp Price to Free Cash Flow Ratio Historical Data,Capital Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.9,,26.45
2024-09-30,25.61,$1.09,23.44
2024-06-30,20.33,$2.67,7.61
2024-03-31,20.58,$2.42,8.49
2023-12-31,23.82,$3.21,7.41
2023-09-30,18.75,$3.14,5.96
2023-06-30,17.67,$2.63,6.72
2023-03-31,16.19,$3.40,4.76
2022-12-31,22.84,$3.47,6.58
2022-09-30,22.35,$5.27,4.24
2022-06-30,20.95,$6.06,3.46
2022-03-31,22.02,$6.08,3.62
2021-12-31,25.18,$9.38,2.69
2021-09-30,23.08,$10.19,2.27
2021-06-30,19.58,$7.68,2.55
2021-03-31,18.47,$4.09,4.51
2020-12-31,13.34,$0.38,35.46
2020-09-30,9.06,$-2.17,0.0
2020-06-30,10.24,$-2.56,0.0
2020-03-31,11.99,$-1.89,0.0
2019-12-31,14.25,$-1.97,0.0
2019-09-30,13.04,$-1.69,0.0
2019-06-30,11.77,$0.74,15.86
