Metropolitan Bank Holding Price to Free Cash Flow Ratio Historical Data,Metropolitan Bank Holding Price to Free Cash Flow Ratio Historical Data,Metropolitan Bank Holding Price to Free Cash Flow Ratio Historical Data,Metropolitan Bank Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.14,,4.26
2024-12-31,58.4,$12.96,4.51
2024-09-30,52.58,$2.78,18.88
2024-06-30,42.09,$4.71,8.93
2024-03-31,38.5,$2.10,18.3
2023-12-31,55.38,$3.30,16.81
2023-09-30,36.28,$7.19,5.05
2023-06-30,34.73,$8.28,4.19
2023-03-31,33.89,$6.79,4.99
2022-12-31,58.67,$5.95,9.86
2022-09-30,64.36,$6.24,10.32
2022-06-30,69.42,$5.43,12.78
2022-03-31,101.77,$6.28,16.21
2021-12-31,106.53,$3.59,29.68
2021-09-30,84.3,$6.26,13.48
2021-06-30,60.22,$5.15,11.69
2021-03-31,50.36,$7.80,6.46
2020-12-31,36.27,$9.93,3.65
2020-09-30,28.0,$4.19,6.68
2020-06-30,32.08,$5.58,5.75
2020-03-31,26.93,$3.33,8.08
2019-12-31,48.23,$3.85,12.52
2019-09-30,39.33,$3.87,10.16
2019-06-30,44.0,$4.11,10.71
2019-03-31,34.79,$3.81,9.14
2018-12-31,30.85,$3.03,10.19
2018-09-30,41.12,$10.36,3.97
