CNFinance Holdings Price to Free Cash Flow Ratio Historical Data,CNFinance Holdings Price to Free Cash Flow Ratio Historical Data,CNFinance Holdings Price to Free Cash Flow Ratio Historical Data,CNFinance Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.92,,0.3
2023-12-31,2.22,$3.11,0.71
2023-09-30,3.78,$-0.27,0.0
2023-06-30,2.92,$1.61,1.81
2023-03-31,2.47,$1.61,1.53
2022-12-31,1.71,$1.61,1.06
2022-09-30,2.52,$3.36,0.75
2022-06-30,2.55,$1.48,1.73
2022-03-31,3.22,$1.48,2.18
2021-12-31,4.08,$1.48,2.76
2021-09-30,5.9,$2.13,2.78
2021-06-30,3.72,$2.13,1.75
2021-03-31,3.86,$2.13,1.82
2020-12-31,4.21,$2.13,1.98
2020-09-30,3.14,$2.55,1.23
2020-06-30,3.86,$2.55,1.51
2020-03-31,3.6,$2.55,1.41
2019-12-31,4.0,$2.55,1.57
2019-09-30,6.05,$2.85,2.13
