Packaging Of America Price to Free Cash Flow Ratio Historical Data,Packaging Of America Price to Free Cash Flow Ratio Historical Data,Packaging Of America Price to Free Cash Flow Ratio Historical Data,Packaging Of America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,197.18,,33.76
2024-12-31,225.13,$5.84,38.54
2024-09-30,215.4,$6.62,32.54
2024-06-30,181.5,$7.40,24.51
2024-03-31,187.4,$9.64,19.45
2023-12-31,159.77,$9.46,16.88
2023-09-30,149.46,$9.19,16.26
2023-06-30,127.57,$9.10,14.01
2023-03-31,132.75,$7.94,16.72
2022-12-31,121.15,$7.26,16.69
2022-09-30,105.35,$7.03,14.98
2022-06-30,127.58,$5.73,22.26
2022-03-31,143.63,$5.33,26.95
2021-12-31,124.44,$5.26,23.67
2021-09-30,124.66,$4.69,26.57
2021-06-30,122.0,$5.35,22.81
2021-03-31,120.29,$5.90,20.4
2020-12-31,122.47,$6.53,18.76
2020-09-30,96.13,$7.52,12.78
2020-06-30,87.32,$8.06,10.83
2020-03-31,75.37,$8.72,8.64
2019-12-31,96.23,$8.63,11.15
2019-09-30,90.53,$8.66,10.45
2019-06-30,80.73,$7.86,10.27
2019-03-31,83.49,$7.38,11.32
2018-12-31,69.56,$6.71,10.36
2018-09-30,90.65,$6.38,14.21
2018-06-30,91.75,$5.76,15.92
2018-03-31,91.89,$5.51,16.68
2017-12-31,97.78,$5.65,17.3
2017-09-30,92.53,$5.21,17.75
2017-06-30,89.39,$5.62,15.9
2017-03-31,73.09,$5.38,13.59
2016-12-31,67.2,$5.69,11.81
2016-09-30,63.92,$5.45,11.73
2016-06-30,52.23,$5.76,9.06
2016-03-31,46.74,$5.64,8.29
2015-12-31,48.32,$4.71,10.25
2015-09-30,45.71,$3.74,12.22
2015-06-30,47.08,$3.01,15.63
2015-03-31,58.44,$2.78,21.03
2014-12-31,57.92,$3.25,17.8
2014-09-30,47.12,$3.97,11.87
2014-06-30,52.48,$3.68,14.27
2014-03-31,51.37,$4.15,12.39
2013-12-31,45.94,$3.83,11.98
2013-09-30,41.18,$4.18,9.85
2013-06-30,35.06,$4.07,8.61
2013-03-31,31.86,$3.53,9.03
2012-12-31,27.12,$2.83,9.59
2012-09-30,25.42,$2.05,12.43
2012-06-30,19.62,$1.28,15.36
2012-03-31,20.37,$0.66,31.02
2011-12-31,17.24,$0.65,26.49
2011-09-30,15.78,$0.71,22.3
2011-06-30,18.81,$0.96,19.59
2011-03-31,19.28,$0.77,24.98
2010-12-31,17.12,$0.30,56.25
2010-09-30,15.27,$0.32,47.22
2010-06-30,14.42,$0.53,27.1
2010-03-31,16.01,$1.18,13.55
2009-12-31,14.87,$1.88,7.93
