Trustmark Price to Free Cash Flow Ratio Historical Data,Trustmark Price to Free Cash Flow Ratio Historical Data,Trustmark Price to Free Cash Flow Ratio Historical Data,Trustmark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.95,,21.79
2024-12-31,35.37,$1.56,22.7
2024-09-30,31.63,$0.94,33.6
2024-06-30,29.66,$1.72,17.23
2024-03-31,27.54,$1.77,15.54
2023-12-31,27.08,$2.59,10.45
2023-09-30,20.9,$2.66,7.85
2023-06-30,20.11,$2.22,9.08
2023-03-31,23.26,$3.34,6.97
2022-12-31,32.62,$4.48,7.29
2022-09-30,28.44,$4.95,5.75
2022-06-30,26.91,$4.67,5.76
2022-03-31,27.8,$4.86,5.72
2021-12-31,29.47,$5.12,5.76
2021-09-30,29.04,$5.05,5.75
2021-06-30,27.56,$3.35,8.22
2021-03-31,29.91,$3.20,9.34
2020-12-31,24.09,$0.72,33.64
2020-09-30,18.71,$1.30,14.34
2020-06-30,21.22,$1.83,11.57
2020-03-31,19.97,$0.09,225.65
2019-12-31,29.34,$1.58,18.56
2019-09-30,28.81,$0.97,29.61
2019-06-30,27.89,$2.13,13.1
2019-03-31,28.01,$2.71,10.33
2018-12-31,23.52,$3.33,7.06
2018-09-30,27.84,$2.96,9.4
2018-06-30,26.82,$3.12,8.59
2018-03-31,25.43,$3.21,7.92
2017-12-31,25.81,$2.97,8.69
2017-09-30,26.65,$3.57,7.47
2017-06-30,25.68,$2.87,8.96
2017-03-31,25.2,$2.71,9.29
2016-12-31,28.07,$2.14,13.13
2016-09-30,21.55,$1.65,13.04
2016-06-30,19.28,$1.81,10.66
2016-03-31,17.7,$2.47,7.18
2015-12-31,17.53,$2.41,7.29
2015-09-30,17.47,$1.98,8.81
2015-06-30,18.64,$2.46,7.58
2015-03-31,17.95,$2.10,8.55
2014-12-31,17.96,$3.01,5.97
2014-09-30,16.7,$2.83,5.9
2014-06-30,17.73,$4.19,4.24
2014-03-31,18.03,$5.36,3.37
2013-12-31,18.9,$4.31,4.38
2013-09-30,17.88,$5.42,3.3
2013-06-30,17.01,$2.99,5.69
2013-03-31,17.16,$0.82,21.03
2012-12-31,15.26,$1.47,10.4
2012-09-30,16.36,$0.40,41.0
2012-06-30,16.3,$0.40,41.24
2012-03-31,16.48,$1.45,11.36
2011-12-31,15.87,$2.52,6.3
2011-09-30,11.73,$3.17,3.7
2011-06-30,14.96,$3.19,4.7
2011-03-31,14.82,$3.07,4.83
2010-12-31,15.57,$3.13,4.98
2010-09-30,13.48,$2.39,5.65
2010-06-30,12.76,$4.56,2.8
2010-03-31,14.82,$4.70,3.15
2009-12-31,13.54,$2.88,4.71
