Couchbase Price to Free Cash Flow Ratio Historical Data,Couchbase Price to Free Cash Flow Ratio Historical Data,Couchbase Price to Free Cash Flow Ratio Historical Data,Couchbase Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.25,,0.0
2024-10-31,16.07,$-0.61,0.0
2024-07-31,19.19,$-0.56,0.0
2024-04-30,24.14,$-0.47,0.0
2024-01-31,25.0,$-0.67,0.0
2023-10-31,15.56,$-0.77,0.0
2023-07-31,16.69,$-0.84,0.0
2023-04-30,15.36,$-1.02,0.0
2023-01-31,14.79,$-1.05,0.0
2022-10-31,12.8,$-1.51,0.0
2022-07-31,15.23,$0.08,182.83
2022-04-30,17.0,$-1.86,0.0
