Hartford Financial Services Price to Free Cash Flow Ratio Historical Data,Hartford Financial Services Price to Free Cash Flow Ratio Historical Data,Hartford Financial Services Price to Free Cash Flow Ratio Historical Data,Hartford Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,119.67,,6.2
2024-12-31,109.4,$19.30,5.67
2024-09-30,117.11,$17.94,6.53
2024-06-30,99.71,$18.04,5.53
2024-03-31,102.2,$13.74,7.44
2023-12-31,79.32,$12.86,6.17
2023-09-30,69.56,$10.95,6.35
2023-06-30,70.23,$9.94,7.06
2023-03-31,67.54,$13.03,5.18
2022-12-31,73.09,$11.63,6.28
2022-09-30,59.37,$11.80,5.03
2022-06-30,62.34,$10.86,5.74
2022-03-31,68.06,$10.33,6.59
2021-12-31,65.07,$11.18,5.82
2021-09-30,65.83,$11.25,5.85
2021-06-30,57.77,$11.36,5.09
2021-03-31,61.93,$11.69,5.3
2020-12-31,45.11,$10.42,4.33
2020-09-30,33.7,$9.93,3.39
2020-06-30,34.96,$10.03,3.49
2020-03-31,31.69,$9.33,3.4
2019-12-31,54.3,$9.27,5.85
2019-09-30,53.89,$9.10,5.93
2019-06-30,49.29,$6.78,7.27
2019-03-31,43.73,$6.33,6.9
2018-12-31,38.86,$7.47,5.2
2018-09-30,43.38,$6.39,6.79
2018-06-30,44.14,$6.46,6.84
2018-03-31,44.26,$6.69,6.62
2017-12-31,48.12,$5.32,9.04
2017-09-30,47.19,$5.34,8.84
2017-06-30,44.56,$5.15,8.65
2017-03-31,40.56,$4.38,9.26
2016-12-31,40.02,$4.67,8.58
2016-09-30,35.79,$4.62,7.75
2016-06-30,36.9,$5.11,7.22
2016-03-31,38.14,$5.64,6.77
2015-12-31,35.79,$5.76,6.21
2015-09-30,37.53,$6.25,6.01
2015-06-30,33.93,$5.13,6.62
2015-03-31,33.98,$4.07,8.35
2014-12-31,33.73,$3.84,8.79
2014-09-30,30.01,$2.41,12.45
2014-06-30,28.71,$2.62,10.97
2014-03-31,28.15,$2.63,10.72
2013-12-31,28.8,$2.39,12.04
2013-09-30,24.63,$2.66,9.25
2013-06-30,24.35,$3.63,6.72
2013-03-31,20.26,$3.61,5.61
2012-12-31,17.55,$5.61,3.13
2012-09-30,15.13,$6.12,2.47
2012-06-30,13.64,$5.58,2.45
2012-03-31,16.22,$6.26,2.59
2011-12-31,12.44,$4.76,2.62
2011-09-30,12.28,$5.77,2.13
2011-06-30,19.96,$6.37,3.13
2011-03-31,20.31,$6.57,3.09
2010-12-31,19.91,$6.87,2.9
2010-09-30,17.21,$5.41,3.18
2010-06-30,16.56,$4.98,3.32
2010-03-31,21.22,$6.68,3.18
2009-12-31,17.33,$8.59,2.02
