Lantern Pharma Price to Free Cash Flow Ratio Historical Data,Lantern Pharma Price to Free Cash Flow Ratio Historical Data,Lantern Pharma Price to Free Cash Flow Ratio Historical Data,Lantern Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.72,,0.0
2024-09-30,3.67,$-1.60,0.0
2024-06-30,4.67,$-1.42,0.0
2024-03-31,8.8,$-1.26,0.0
2023-12-31,4.28,$-1.33,0.0
2023-09-30,3.41,$-1.26,0.0
2023-06-30,5.64,$-1.30,0.0
2023-03-31,4.83,$-1.22,0.0
2022-12-31,6.04,$-1.18,0.0
2022-09-30,4.78,$-1.14,0.0
2022-06-30,5.71,$-1.19,0.0
2022-03-31,7.15,$-1.07,0.0
2021-12-31,7.98,$-0.97,0.0
2021-09-30,11.18,$-1.42,0.0
2021-06-30,14.6,$-1.22,0.0
2021-03-31,18.14,$-1.53,0.0
