GlucoTrack Price to Free Cash Flow Ratio Historical Data,GlucoTrack Price to Free Cash Flow Ratio Historical Data,GlucoTrack Price to Free Cash Flow Ratio Historical Data,GlucoTrack Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.41,,0.0
2024-09-30,2.41,$-46.05,0.0
2024-06-30,2.01,$-39.04,0.0
2024-03-31,1.66,$-35.14,0.0
2023-12-31,1.31,$-31.59,0.0
2023-09-30,1.31,$-24.09,0.0
2023-06-30,1.73,$-20.48,0.0
2023-03-31,1.7,$-24.38,0.0
2022-12-31,7.05,$-24.09,0.0
2022-09-30,9.95,$-42.45,0.0
