Greif Bros Price to Free Cash Flow Ratio Historical Data,Greif Bros Price to Free Cash Flow Ratio Historical Data,Greif Bros Price to Free Cash Flow Ratio Historical Data,Greif Bros Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,58.03,,16.43
2025-01-31,63.37,$3.53,17.94
2024-10-31,66.93,$3.90,17.17
2024-07-31,70.67,$3.46,20.43
2024-04-30,62.48,$6.04,10.34
2024-01-31,62.7,$8.72,7.19
2023-10-31,64.06,$9.36,6.85
2023-07-31,79.07,$11.36,6.96
2023-04-30,78.74,$11.76,6.7
2023-01-31,82.4,$10.22,8.06
2022-10-31,70.81,$10.32,6.86
2022-07-31,69.82,$7.71,9.05
2022-04-30,58.36,$5.29,11.03
2022-01-31,59.4,$5.62,10.57
2021-10-31,65.26,$5.58,11.7
2021-07-31,60.88,$7.52,8.09
2021-04-30,59.14,$8.44,7.01
2021-01-31,44.7,$7.45,6.0
2020-10-31,41.76,$7.37,5.67
2020-07-31,37.35,$6.53,5.72
2020-04-30,37.15,$6.42,5.78
2020-01-31,43.56,$5.64,7.73
2019-10-31,42.69,$5.31,8.04
2019-07-31,38.48,$5.15,7.47
2019-04-30,42.86,$3.38,12.7
2019-01-31,39.2,$3.33,11.76
2018-10-31,43.94,$2.43,18.12
2018-07-31,48.95,$2.83,17.32
2018-04-30,52.68,$3.82,13.8
2018-01-31,52.71,$4.10,12.87
2017-10-31,51.58,$4.36,11.84
2017-07-31,48.66,$3.24,15.02
2017-04-30,54.14,$3.54,15.28
2017-01-31,56.64,$3.98,14.22
2016-10-31,45.94,$4.21,10.91
2016-07-31,41.34,$4.10,10.08
2016-04-30,35.56,$3.63,9.8
2016-01-31,27.73,$2.41,11.52
2015-10-31,28.88,$1.70,16.96
2015-07-31,28.22,$1.75,16.1
2015-04-30,34.88,$1.09,31.86
2015-01-31,31.52,$2.50,12.61
2014-10-31,35.66,$2.45,14.54
2014-07-31,37.62,$2.23,16.85
2014-04-30,40.84,$2.94,13.88
2014-01-31,38.11,$3.21,11.88
2013-10-31,38.58,$3.08,12.52
2013-07-31,38.35,$3.19,12.02
2013-04-30,34.35,$4.31,7.97
2013-01-31,33.02,$5.41,6.11
2012-10-31,29.33,$6.71,4.37
2012-07-31,31.99,$7.01,4.56
2012-04-30,34.61,$4.68,7.39
2012-01-31,30.85,$2.31,13.37
2011-10-31,28.02,$0.79,35.43
2011-07-31,35.37,$0.83,42.42
2011-04-30,34.92,$1.73,20.15
2011-01-31,35.88,$0.80,44.83
2010-10-31,34.08,$0.64,53.32
2010-07-31,33.33,$1.70,19.62
2010-04-30,32.76,$3.41,9.61
2010-01-31,27.62,$4.69,5.89
2009-10-31,27.08,$4.06,6.67
