BlackSky Technology Price to Free Cash Flow Ratio Historical Data,BlackSky Technology Price to Free Cash Flow Ratio Historical Data,BlackSky Technology Price to Free Cash Flow Ratio Historical Data,BlackSky Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.76,,0.0
2024-09-30,4.74,$-1.24,0.0
2024-06-30,8.56,$-1.20,0.0
2024-03-31,10.88,$-1.07,0.0
2023-12-31,11.2,$-1.93,0.0
2023-09-30,9.36,$-2.12,0.0
2023-06-30,17.76,$-2.97,0.0
2023-03-31,12.0,$-4.05,0.0
2022-12-31,12.32,$-3.81,0.0
2022-09-30,12.0,$-4.86,0.0
2022-06-30,18.48,$-5.32,0.0
2022-03-31,15.12,$-6.75,0.0
2021-12-31,35.92,$-6.09,0.0
2021-09-30,82.8,$-5.80,0.0
2021-06-30,79.92,$-10.27,0.0
2021-03-31,82.56,$-8.03,0.0
2020-12-31,83.76,$-7.74,0.0
2020-09-30,81.52,$-6.50,0.0
