Metalpha Technology Holding Price to Free Cash Flow Ratio Historical Data,Metalpha Technology Holding Price to Free Cash Flow Ratio Historical Data,Metalpha Technology Holding Price to Free Cash Flow Ratio Historical Data,Metalpha Technology Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.85,,inf
2024-03-31,1.45,0.0,0.0
2023-09-30,1.36,0.0,0.0
2023-03-31,1.04,0.0,0.0
2022-09-30,0.84,0.0,0.0
2022-03-31,1.02,0.0,0.0
2021-09-30,1.51,0.0,0.0
2021-03-31,1.63,0.0,0.0
