Forum Energy Technologies Price to Free Cash Flow Ratio Historical Data,Forum Energy Technologies Price to Free Cash Flow Ratio Historical Data,Forum Energy Technologies Price to Free Cash Flow Ratio Historical Data,Forum Energy Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.03,,3.05
2024-12-31,15.49,$6.89,2.25
2024-09-30,15.46,$4.76,3.25
2024-06-30,16.86,$5.13,3.28
2024-03-31,19.98,$2.70,7.41
2023-12-31,22.17,$0.16,140.58
2023-09-30,24.02,$-1.07,0.0
2023-06-30,25.59,$-1.76,0.0
2023-03-31,25.43,$-1.46,0.0
2022-12-31,29.5,$-3.62,0.0
2022-09-30,21.24,$-6.29,0.0
2022-06-30,19.62,$-9.03,0.0
2022-03-31,22.9,$-7.92,0.0
2021-12-31,16.05,$-3.45,0.0
2021-09-30,22.54,$0.28,79.99
2021-06-30,23.48,$2.32,10.13
2021-03-31,18.54,$1.09,17.08
2020-12-31,11.9,$1.24,9.58
2020-09-30,10.99,$5.39,2.04
2020-06-30,10.56,$10.12,1.04
2020-03-31,3.55,$13.76,0.26
2019-12-31,33.6,$16.26,2.07
2019-09-30,31.0,$15.57,1.99
2019-06-30,68.4,$9.09,7.53
2019-03-31,102.2,$3.04,33.63
2018-12-31,82.6,$-3.98,0.0
2018-09-30,207.0,$-14.01,0.0
2018-06-30,247.0,$-19.14,0.0
2018-03-31,220.0,$-14.07,0.0
2017-12-31,311.0,$-13.53,0.0
2017-09-30,318.0,$-4.72,0.0
2017-06-30,312.0,$1.10,284.54
2017-03-31,414.0,$1.59,260.84
2016-12-31,440.0,$10.50,41.89
2016-09-30,397.2,$15.16,26.19
2016-06-30,346.2,$27.31,12.68
2016-03-31,264.0,$24.46,10.79
2015-12-31,249.2,$27.50,9.06
2015-09-30,244.2,$38.77,6.3
2015-06-30,405.6,$36.36,11.15
2015-03-31,392.0,$45.13,8.69
2014-12-31,414.6,$47.91,8.65
2014-09-30,612.2,$35.81,17.1
2014-06-30,728.6,$38.74,18.81
2014-03-31,619.6,$38.90,15.93
2013-12-31,565.2,$31.95,17.69
2013-09-30,540.2,$37.65,14.35
2013-06-30,608.6,$33.52,18.15
2013-03-31,575.2,$25.40,22.64
