Lanvins Price to Free Cash Flow Ratio Historical Data,Lanvins Price to Free Cash Flow Ratio Historical Data,Lanvins Price to Free Cash Flow Ratio Historical Data,Lanvins Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.32,,0.0
2022-12-31,9.12,$-1.07,0.0
2022-09-30,9.95,$0.00,0.0
2022-06-30,9.83,$-0.00,0.0
2022-03-31,9.83,$0.05,210.04
2021-12-31,9.71,0,0.0
