Stock Yards Bancorp Price to Free Cash Flow Ratio Historical Data,Stock Yards Bancorp Price to Free Cash Flow Ratio Historical Data,Stock Yards Bancorp Price to Free Cash Flow Ratio Historical Data,Stock Yards Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,68.8,,15.19
2024-12-31,71.61,$4.53,15.81
2024-09-30,61.74,$4.95,12.47
2024-06-30,49.22,$4.21,11.7
2024-03-31,48.17,$3.69,13.06
2023-12-31,50.36,$3.43,14.67
2023-09-30,38.2,$4.09,9.33
2023-06-30,43.81,$5.09,8.61
2023-03-31,52.92,$4.16,12.73
2022-12-31,62.02,$3.98,15.59
2022-09-30,64.63,$3.99,16.18
2022-06-30,56.6,$2.29,24.69
2022-03-31,49.81,$2.80,17.77
2021-12-31,59.85,$3.88,15.44
2021-09-30,54.7,$3.91,13.99
2021-06-30,47.21,$3.86,12.22
2021-03-31,47.12,$3.83,12.32
2020-12-31,37.17,$3.20,11.61
2020-09-30,31.05,$2.33,13.35
2020-06-30,36.41,$2.85,12.76
2020-03-31,26.0,$2.61,9.97
2019-12-31,36.53,$2.46,14.85
2019-09-30,32.43,$2.34,13.84
2019-06-30,31.74,$1.92,16.51
2019-03-31,29.46,$2.52,11.7
2018-12-31,28.38,$2.57,11.03
2018-09-30,31.15,$2.03,15.35
2018-06-30,32.52,$2.43,13.38
2018-03-31,29.75,$2.00,14.85
2017-12-31,31.75,$2.21,14.34
2017-09-30,31.82,$2.68,11.89
2017-06-30,32.38,$2.45,13.2
2017-03-31,33.66,$2.44,13.82
2016-12-31,38.7,$2.50,15.47
2016-09-30,27.05,$2.29,11.82
2016-06-30,23.04,$2.52,9.15
2016-03-31,20.83,$2.28,9.15
2015-12-31,20.3,$1.77,11.48
2015-09-30,19.4,$1.78,10.87
2015-06-30,20.03,$1.33,15.1
2015-03-31,18.13,$1.61,11.29
2014-12-31,17.44,$1.70,10.24
2014-09-30,15.63,$1.77,8.85
2014-06-30,15.42,$2.21,6.98
2014-03-31,16.19,$1.86,8.69
2013-12-31,16.22,$2.60,6.24
2013-09-30,14.31,$1.54,9.28
2013-06-30,12.29,$1.00,12.31
2013-03-31,11.18,$1.01,11.1
2012-12-31,11.05,$0.55,20.08
2012-09-30,11.55,$1.95,5.91
2012-06-30,11.6,$1.93,6.0
2012-03-31,11.14,$1.83,6.09
2011-12-31,9.78,$1.74,5.61
2011-09-30,8.79,$1.71,5.13
2011-06-30,10.87,$0.98,11.14
2011-03-31,11.68,$0.59,19.71
2010-12-31,11.31,$1.47,7.67
2010-09-30,11.35,$0.47,24.03
2010-06-30,10.44,$1.61,6.49
2010-03-31,10.26,$1.60,6.41
2009-12-31,9.56,$0.51,18.8
