Provident Financial Holdings Price to Free Cash Flow Ratio Historical Data,Provident Financial Holdings Price to Free Cash Flow Ratio Historical Data,Provident Financial Holdings Price to Free Cash Flow Ratio Historical Data,Provident Financial Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.01,,21.64
2024-12-31,15.91,$0.65,24.57
2024-09-30,14.22,$0.54,26.43
2024-06-30,12.26,$0.59,20.83
2024-03-31,12.98,$1.33,9.79
2023-12-31,12.12,$1.86,6.5
2023-09-30,12.42,$2.29,5.44
2023-06-30,11.98,$2.17,5.53
2023-03-31,12.66,$2.14,5.92
2022-12-31,12.67,$1.44,8.77
2022-09-30,12.94,$1.44,8.98
2022-06-30,13.38,$1.56,8.57
2022-03-31,14.78,$1.32,11.19
2021-12-31,14.65,$1.39,10.53
2021-09-30,14.81,$1.51,9.83
2021-06-30,15.06,$1.51,10.0
2021-03-31,14.62,$1.69,8.65
2020-12-31,13.47,$1.64,8.22
2020-09-30,10.1,$1.45,6.97
2020-06-30,11.25,$1.02,11.03
2020-03-31,12.64,$4.93,2.56
2019-12-31,18.06,$8.40,2.15
2019-09-30,17.0,$10.99,1.55
2019-06-30,17.08,$14.16,1.21
2019-03-31,16.1,$9.10,1.77
2018-12-31,12.44,$6.38,1.95
2018-09-30,14.57,$7.78,1.87
2018-06-30,15.08,$3.60,4.19
2018-03-31,14.19,$3.25,4.37
2017-12-31,14.32,$9.17,1.56
2017-09-30,15.14,$17.94,0.84
2017-06-30,14.76,$10.42,1.42
2017-03-31,14.2,$11.27,1.26
2016-12-31,15.29,$4.01,3.82
2016-09-30,14.7,$-10.45,0.0
2016-06-30,13.66,$6.19,2.21
2016-03-31,12.64,$15.46,0.82
2015-12-31,13.91,$7.39,1.88
2015-09-30,12.27,$4.05,3.03
2015-06-30,12.15,$-6.00,0.0
2015-03-31,11.52,$-19.94,0.0
2014-12-31,10.83,$-8.14,0.0
2014-09-30,10.37,$1.18,8.76
2014-06-30,10.25,$5.14,2.0
2014-03-31,10.8,$8.04,1.34
2013-12-31,10.44,$16.26,0.64
2013-09-30,11.48,$13.81,0.83
2013-06-30,10.91,$6.22,1.75
2013-03-31,11.64,$5.30,2.2
2012-12-31,11.92,$-1.90,0.0
2012-09-30,9.65,$1.50,6.44
2012-06-30,7.8,$0.44,17.69
2012-03-31,7.37,$0.40,18.64
2011-12-31,6.26,$-1.67,0.0
2011-09-30,5.85,$0.36,16.31
2011-06-30,5.34,$3.30,1.62
2011-03-31,5.52,$7.61,0.73
2010-12-31,4.81,$3.62,1.33
2010-09-30,3.86,$-4.98,0.0
2010-06-30,3.18,$5.02,0.63
2010-03-31,2.3,$2.21,1.04
2009-12-31,1.82,$-2.99,0.0
