Vistra Price to Free Cash Flow Ratio Historical Data,Vistra Price to Free Cash Flow Ratio Historical Data,Vistra Price to Free Cash Flow Ratio Historical Data,Vistra Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,131.9,,17.35
2024-12-31,137.87,$7.60,18.13
2024-09-30,118.54,$6.03,19.65
2024-06-30,85.81,$6.45,13.31
2024-03-31,69.34,$7.84,8.84
2023-12-31,38.22,$10.37,3.68
2023-09-30,32.73,$9.35,3.5
2023-06-30,25.74,$7.16,3.59
2023-03-31,23.34,$0.22,104.86
2022-12-31,22.39,$-1.75,0.0
2022-09-30,20.1,$-1.78,0.0
2022-06-30,21.71,$-2.31,0.0
2022-03-31,21.92,$1.79,12.26
2021-12-31,21.3,$-2.51,0.0
2021-09-30,15.88,$-1.48,0.0
2021-06-30,17.09,$-0.46,0.0
2021-03-31,16.16,$-0.12,0.0
2020-12-31,17.82,$4.28,4.16
2020-09-30,16.97,$4.44,3.82
2020-06-30,16.63,$4.39,3.79
2020-03-31,14.16,$4.19,3.38
2019-12-31,20.2,$4.06,4.98
2019-09-30,23.36,$3.46,6.74
2019-06-30,19.69,$3.40,5.79
2019-03-31,22.53,$2.53,8.9
2018-12-31,19.71,$1.88,10.5
2018-09-30,21.43,$2.22,9.67
2018-06-30,20.37,$1.74,11.69
2018-03-31,17.94,$2.34,7.67
