GE Aerospace Price to Free Cash Flow Ratio Historical Data,GE Aerospace Price to Free Cash Flow Ratio Historical Data,GE Aerospace Price to Free Cash Flow Ratio Historical Data,GE Aerospace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,203.93,,58.83
2024-12-31,166.79,$3.47,48.12
2024-09-30,188.58,$5.15,36.61
2024-06-30,158.46,$5.45,29.05
2024-03-31,139.26,$5.05,27.59
2023-12-31,101.26,$3.99,25.37
2023-09-30,87.65,$5.56,15.76
2023-06-30,86.97,$5.25,16.57
2023-03-31,75.69,$5.11,14.82
2022-12-31,66.28,$4.91,13.49
2022-09-30,48.92,$2.88,16.99
2022-06-30,50.25,$3.62,13.9
2022-03-31,72.13,$3.65,19.78
2021-12-31,74.4,$2.29,32.43
2021-09-30,81.07,$3.24,24.99
2021-06-30,84.66,$2.33,36.28
2021-03-31,82.52,$0.60,137.52
2020-12-31,67.83,$2.00,33.88
2020-09-30,39.09,$4.60,8.5
2020-06-30,42.79,$5.00,8.56
2020-03-31,49.66,$5.86,8.47
2019-12-31,69.73,$6.32,11.03
2019-09-30,55.81,$7.89,7.08
2019-06-30,65.48,$3.47,18.86
2019-03-31,62.24,$2.85,21.86
2018-12-31,45.43,$2.25,20.2
2018-09-30,67.67,$-1.48,0.0
2018-06-30,80.81,$2.19,36.92
2018-03-31,79.33,$4.90,16.2
2017-12-31,101.84,$5.01,20.32
2017-09-30,140.16,$3.22,43.58
2017-06-30,155.01,$3.48,44.59
2017-03-31,169.61,$-1.58,0.0
2016-12-31,178.43,$-1.42,0.0
2016-09-30,166.0,$1.08,153.19
2016-06-30,175.07,$0.42,414.56
2016-03-31,175.47,$8.26,21.25
2015-12-31,170.6,$12.71,13.42
2015-09-30,137.09,$16.19,8.47
2015-06-30,143.13,$20.46,7.0
2015-03-31,132.54,$20.25,6.55
2014-12-31,133.76,$18.57,7.2
2014-09-30,134.39,$21.13,6.36
2014-06-30,136.7,$19.73,6.93
2014-03-31,133.58,$19.91,6.71
2013-12-31,143.37,$19.03,7.53
2013-09-30,121.22,$14.78,8.2
2013-06-30,116.76,$15.33,7.62
2013-03-31,115.46,$14.57,7.93
2012-12-31,103.97,$16.96,6.13
2012-09-30,111.49,$16.00,6.97
2012-06-30,101.54,$18.19,5.58
2012-03-31,96.94,$19.06,5.09
2011-12-31,85.75,$20.03,4.28
2011-09-30,72.19,$21.22,3.4
2011-06-30,88.63,$22.24,3.98
2011-03-31,93.47,$24.31,3.84
2010-12-31,84.69,$25.12,3.37
2010-09-30,74.66,$26.74,2.79
2010-06-30,65.77,$25.98,2.53
2010-03-31,82.49,$23.52,3.51
2009-12-31,68.15,$16.78,4.06
