Generation Income Properties Price to Free Cash Flow Ratio Historical Data,Generation Income Properties Price to Free Cash Flow Ratio Historical Data,Generation Income Properties Price to Free Cash Flow Ratio Historical Data,Generation Income Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.59,,0.0
2024-09-30,2.19,$-1.43,0.0
2024-06-30,4.09,$-12.36,0.0
2024-03-31,3.83,$-12.32,0.0
2023-12-31,3.95,$-12.68,0.0
2023-09-30,3.86,$-12.06,0.0
2023-06-30,3.97,$0.15,27.08
2023-03-31,4.5,$0.22,20.32
2022-12-31,4.84,$-5.30,0.0
2022-09-30,6.01,$-8.62,0.0
