Siebert Financial Price to Free Cash Flow Ratio Historical Data,Siebert Financial Price to Free Cash Flow Ratio Historical Data,Siebert Financial Price to Free Cash Flow Ratio Historical Data,Siebert Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.64,,0.0
2024-09-30,2.53,$-0.49,0.0
2024-06-30,1.74,$-0.99,0.0
2024-03-31,2.11,$-1.24,0.0
2023-12-31,1.68,$-0.85,0.0
2023-09-30,1.95,$-1.67,0.0
2023-06-30,2.48,$-2.05,0.0
2023-03-31,1.91,$-0.64,0.0
2022-12-31,1.36,$-0.79,0.0
2022-09-30,1.48,$-1.12,0.0
2022-06-30,1.55,$-0.93,0.0
2022-03-31,2.16,$-1.73,0.0
2021-12-31,2.32,$-0.06,0.0
2021-09-30,3.35,$2.12,1.58
2021-06-30,4.81,$2.92,1.65
2021-03-31,4.05,$3.35,1.21
2020-12-31,4.2,$3.14,1.34
2020-09-30,3.23,$2.19,1.47
2020-06-30,5.06,$2.36,2.14
2020-03-31,7.22,$1.11,6.48
2019-12-31,8.65,$0.73,11.93
2019-09-30,9.2,$-0.30,0.0
2019-06-30,9.0,$-0.62,0.0
2019-03-31,11.81,$-0.22,0.0
2018-12-31,14.46,$0.13,113.32
2018-09-30,14.65,$0.16,94.09
2018-06-30,10.42,$0.17,59.65
2018-03-31,8.43,$0.14,61.76
2017-12-31,13.5,$0.05,293.48
2017-09-30,3.9,$0.01,327.74
2017-06-30,3.94,$-0.08,0.0
2017-03-31,3.61,$-0.12,0.0
2016-12-31,2.98,$-0.15,0.0
2016-09-30,1.19,$-0.17,0.0
2016-06-30,1.03,$-0.06,0.0
2016-03-31,1.12,$-0.07,0.0
2015-12-31,1.11,$-0.06,0.0
2015-09-30,1.35,$-0.12,0.0
2015-06-30,1.55,$-0.43,0.0
2015-03-31,1.49,$-0.40,0.0
2014-12-31,1.9,$-0.40,0.0
2014-09-30,1.86,$-0.46,0.0
2014-06-30,2.41,$-0.26,0.0
2014-03-31,2.66,$-0.20,0.0
2013-12-31,1.39,$-0.16,0.0
2013-09-30,1.44,$-0.10,0.0
2013-06-30,1.31,$-0.09,0.0
2013-03-31,1.28,$-0.09,0.0
2012-12-31,1.44,$-0.10,0.0
2012-09-30,1.25,$-0.04,0.0
2012-06-30,1.45,$-0.05,0.0
2012-03-31,1.41,$-0.10,0.0
2011-12-31,1.23,$-0.06,0.0
2011-09-30,1.43,$-0.07,0.0
2011-06-30,1.57,$-0.19,0.0
2011-03-31,1.55,$-0.02,0.0
2010-12-31,1.48,$-0.06,0.0
2010-09-30,1.38,$-0.19,0.0
2010-06-30,1.86,$-0.11,0.0
2010-03-31,2.03,$-0.16,0.0
2009-12-31,1.99,$-0.29,0.0
