Grace Therapeutics Price to Free Cash Flow Ratio Historical Data,Grace Therapeutics Price to Free Cash Flow Ratio Historical Data,Grace Therapeutics Price to Free Cash Flow Ratio Historical Data,Grace Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.56,,0.0
2024-12-31,3.74,$-1.44,0.0
2024-09-30,3.0,$-0.87,0.0
2024-06-30,2.92,$-0.77,0.0
2024-03-31,3.43,$-1.28,0.0
2023-12-31,2.89,$-1.33,0.0
2023-09-30,2.78,$-2.04,0.0
2023-06-30,3.15,$-2.25,0.0
2023-03-31,2.76,$-2.14,0.0
2022-12-31,3.01,$-2.59,0.0
2022-09-30,3.5,$-2.26,0.0
2022-06-30,5.15,$-2.76,0.0
2022-03-31,7.32,$-2.81,0.0
2021-12-31,7.56,$-1.69,0.0
2021-09-30,12.0,$-3.31,0.0
2021-06-30,26.95,$-4.38,0.0
2021-03-31,28.8,$-5.82,0.0
2020-12-31,15.6,$-8.00,0.0
2020-09-30,9.61,$-9.95,0.0
2020-06-30,22.52,$-11.25,0.0
2020-03-31,18.22,$-13.20,0.0
2019-12-31,117.6,$-21.91,0.0
2019-09-30,90.72,$-17.13,0.0
2019-06-30,54.72,$-19.65,0.0
2019-03-31,48.96,$-22.38,0.0
2018-12-31,39.93,$-18.88,0.0
2018-09-30,61.92,$-30.41,0.0
2018-06-30,27.36,$-30.46,0.0
2018-03-31,48.96,$-27.78,0.0
2017-12-31,45.25,$-28.04,0.0
2017-09-30,68.16,$-25.75,0.0
2017-06-30,63.36,$-24.89,0.0
2017-02-28,60.0,$-29.57,0.0
2016-11-30,67.2,$-45.77,0.0
2016-08-31,63.84,$-20.24,0.0
2016-05-31,72.0,$-31.34,0.0
2016-03-31,72.96,$-19.70,0.0
2016-02-29,72.0,0,0.0
2015-12-31,122.4,$-25.61,0.0
2015-09-30,129.07,$-18.04,0.0
2015-06-30,151.2,$-28.65,0.0
2015-03-31,230.16,$-26.74,0.0
2014-12-31,240.0,$-47.74,0.0
2014-09-30,369.6,$-27.75,0.0
2014-06-30,489.6,$-24.01,0.0
2014-03-31,551.66,$-23.25,0.0
2014-02-28,609.6,0,0.0
2013-12-31,600.0,$-28.25,0.0
