Sinclair Price to Free Cash Flow Ratio Historical Data,Sinclair Price to Free Cash Flow Ratio Historical Data,Sinclair Price to Free Cash Flow Ratio Historical Data,Sinclair Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.76,,79.13
2024-12-31,16.14,$0.21,76.2
2024-09-30,15.3,$-1.38,0.0
2024-06-30,13.33,$-4.75,0.0
2024-03-31,13.47,$1.21,11.17
2023-12-31,13.03,$2.20,5.93
2023-09-30,11.22,$5.48,2.05
2023-06-30,13.82,$9.13,1.51
2023-03-31,16.89,$9.69,1.74
2022-12-31,15.02,$9.82,1.53
2022-09-30,17.29,$6.50,2.66
2022-06-30,19.28,$6.30,3.06
2022-03-31,26.21,$7.26,3.61
2021-12-31,24.51,$3.86,6.34
2021-09-30,29.12,$10.76,2.71
2021-06-30,30.34,$14.55,2.09
2021-03-31,26.56,$15.93,1.67
2020-12-31,28.76,$17.85,1.61
2020-09-30,17.24,$13.88,1.24
2020-06-30,16.39,$9.67,1.69
2020-03-31,14.13,$6.76,2.09
2019-12-31,29.02,$8.24,3.52
2019-09-30,37.0,$6.80,5.44
2019-06-30,46.21,$5.11,9.05
2019-03-31,33.04,$5.33,6.19
2018-12-31,22.49,$5.35,4.21
2018-09-30,24.21,$4.20,5.76
2018-06-30,27.28,$4.44,6.14
2018-03-31,26.39,$3.55,7.44
2017-12-31,31.74,$5.39,5.89
2017-09-30,26.73,$6.95,3.84
2017-06-30,27.28,$6.91,3.95
2017-03-31,33.4,$7.13,4.68
2016-12-31,27.38,$5.66,4.84
2016-09-30,23.58,$3.49,6.75
2016-06-30,24.23,$3.78,6.41
2016-03-31,24.81,$3.69,6.72
2015-12-31,26.12,$3.50,7.46
2015-09-30,20.23,$5.10,3.97
2015-06-30,22.16,$5.21,4.25
2015-03-31,24.81,$5.09,4.88
2014-12-31,21.48,$5.40,3.98
2014-09-30,20.37,$-7.37,0.0
2014-06-30,26.98,$-7.76,0.0
2014-03-31,20.93,$-8.21,0.0
2013-12-31,27.46,$-8.94,0.0
2013-09-30,25.64,$-11.72,0.0
2013-06-30,22.33,$-11.96,0.0
2013-03-31,15.34,$-11.82,0.0
2012-12-31,9.44,$-11.58,0.0
2012-09-30,7.58,$1.74,4.35
2012-06-30,6.05,$1.53,3.95
2012-03-31,7.28,$1.50,4.84
2011-12-31,7.38,$1.36,5.42
2011-09-30,4.61,$1.76,2.62
2011-06-30,6.96,$1.67,4.17
2011-03-31,7.84,$1.89,4.14
2010-12-31,5.07,$1.71,2.96
2010-09-30,4.13,$1.54,2.68
2010-06-30,3.43,$1.27,2.7
2010-03-31,2.99,$1.39,2.15
2009-12-31,2.37,$1.22,1.94
