Kingstone Price to Free Cash Flow Ratio Historical Data,Kingstone Price to Free Cash Flow Ratio Historical Data,Kingstone Price to Free Cash Flow Ratio Historical Data,Kingstone Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.83,,3.54
2024-12-31,15.19,$4.48,3.39
2024-09-30,9.15,$3.01,3.04
2024-06-30,5.0,$1.45,3.45
2024-03-31,4.45,$-0.40,0.0
2023-12-31,2.13,$-1.22,0.0
2023-09-30,1.79,$-1.05,0.0
2023-06-30,1.17,$-0.65,0.0
2023-03-31,1.34,$0.91,1.46
2022-12-31,1.35,$-0.51,0.0
2022-09-30,2.66,$-1.67,0.0
2022-06-30,3.9,$-0.77,0.0
2022-03-31,5.22,$0.06,90.15
2021-12-31,4.87,$1.87,2.6
2021-09-30,6.41,$2.32,2.77
2021-06-30,7.49,$0.89,8.41
2021-03-31,8.16,$0.22,36.86
2020-12-31,6.32,$-1.26,0.0
2020-09-30,5.56,$-0.20,0.0
2020-06-30,4.15,$0.59,7.03
2020-03-31,4.75,$0.80,5.93
2019-12-31,7.14,$2.41,2.97
2019-09-30,7.78,$1.84,4.23
2019-06-30,7.84,$2.18,3.59
2019-03-31,13.22,$2.01,6.59
2018-12-31,15.77,$1.83,8.64
2018-09-30,16.94,$2.13,7.95
2018-06-30,14.99,$2.25,6.67
2018-03-31,14.82,$2.21,6.71
2017-12-31,16.5,$2.38,6.92
2017-09-30,14.25,$2.00,7.13
2017-06-30,13.3,$1.48,8.98
2017-03-31,13.79,$1.68,8.19
2016-12-31,11.84,$1.87,6.32
2016-09-30,7.91,$2.65,2.98
2016-06-30,7.53,$3.18,2.37
2016-03-31,6.98,$2.84,2.46
2015-12-31,7.55,$2.59,2.91
2015-09-30,7.2,$2.51,2.87
2015-06-30,6.3,$2.02,3.12
2015-03-31,6.2,$2.28,2.72
2014-12-31,6.66,$2.25,2.97
2014-09-30,6.58,$1.79,3.68
2014-06-30,5.38,$1.98,2.72
2014-03-31,5.59,$1.30,4.3
2013-12-31,5.8,$1.82,3.19
2013-09-30,4.17,$2.23,1.87
2013-06-30,4.1,$1.97,2.09
2013-03-31,4.45,$2.27,1.96
2012-12-31,3.77,$1.65,2.29
2012-09-30,3.91,$1.12,3.49
2012-06-30,3.99,$1.45,2.74
2012-03-31,2.41,$1.47,1.63
2011-12-31,2.69,$1.85,1.45
2011-09-30,2.58,$2.02,1.28
2011-06-30,2.2,$1.08,2.04
2011-03-31,2.27,$1.49,1.52
2010-12-31,2.57,$1.08,2.37
2010-09-30,1.78,$0.79,2.25
2010-06-30,2.13,$1.19,1.78
2010-03-31,2.21,$0.30,7.4
2009-12-31,1.83,$0.40,4.54
