"EYEPOINT PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data","EYEPOINT PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data","EYEPOINT PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data","EYEPOINT PHARMACEUTICALS, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.1,,0.0
2024-12-31,7.45,$-2.31,0.0
2024-09-30,7.99,$-2.35,0.0
2024-06-30,8.7,$-2.09,0.0
2024-03-31,20.67,$-0.19,0.0
2023-12-31,23.11,$-0.04,0.0
2023-09-30,7.99,$0.23,34.74
2023-06-30,8.7,$0.31,28.17
2023-03-31,2.94,$-1.72,0.0
2022-12-31,3.5,$-1.80,0.0
2022-09-30,7.91,$-2.03,0.0
2022-06-30,7.87,$-1.92,0.0
2022-03-31,12.15,$-1.68,0.0
2021-12-31,12.24,$-1.75,0.0
2021-09-30,10.42,$-0.72,0.0
2021-06-30,8.99,$-0.32,0.0
2021-03-31,10.16,$-0.35,0.0
2020-12-31,6.58,$-1.15,0.0
2020-09-30,5.18,$-2.81,0.0
2020-06-30,7.57,$-4.30,0.0
2020-03-31,10.2,$-5.46,0.0
2019-12-31,15.5,$-5.46,0.0
2019-09-30,18.1,$-1.21,0.0
2019-06-30,16.4,$-0.91,0.0
2019-03-31,17.9,$-1.42,0.0
