American Battery Technology Price to Free Cash Flow Ratio Historical Data,American Battery Technology Price to Free Cash Flow Ratio Historical Data,American Battery Technology Price to Free Cash Flow Ratio Historical Data,American Battery Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.04,,0.0
2024-12-31,2.46,$-0.38,0.0
2024-09-30,1.07,$-0.41,0.0
2024-06-30,1.25,$-0.56,0.0
