Franklin Covey Price to Free Cash Flow Ratio Historical Data,Franklin Covey Price to Free Cash Flow Ratio Historical Data,Franklin Covey Price to Free Cash Flow Ratio Historical Data,Franklin Covey Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.52,,7.15
2024-11-30,36.38,$3.99,9.12
2024-08-31,40.26,$4.20,9.59
2024-05-31,37.0,$3.29,11.25
2024-02-29,38.18,$3.71,10.3
2023-11-30,38.88,$3.26,11.92
2023-08-31,42.67,$2.18,19.54
2023-05-31,36.92,$2.30,16.06
2023-02-28,46.87,$2.43,19.3
2022-11-30,51.96,$2.82,18.42
2022-08-31,47.57,$3.37,14.11
2022-05-31,38.31,$3.70,10.36
2022-02-28,46.1,$3.19,14.45
2021-11-30,43.98,$3.06,14.37
2021-08-31,43.47,$3.15,13.79
2021-05-31,31.0,$2.67,11.61
2021-02-28,25.71,$2.11,12.16
2020-11-30,21.97,$2.06,10.67
2020-08-31,19.74,$1.68,11.73
2020-05-31,21.3,$1.87,11.36
2020-02-29,31.45,$2.15,14.65
2019-11-30,36.91,$1.79,20.6
2019-08-31,36.79,$1.89,19.51
2019-05-31,31.1,$1.61,19.37
2019-02-28,26.02,$1.18,22.05
2018-11-30,23.69,$1.23,19.21
2018-08-31,25.6,$0.75,34.31
2018-05-31,28.05,$0.52,53.58
2018-02-28,25.9,$0.90,28.87
2017-11-30,20.1,$1.09,18.49
2017-08-31,18.8,$0.74,25.55
2017-05-31,19.75,$1.02,19.3
2017-02-28,17.95,$1.12,16.03
2016-11-30,20.8,$1.15,18.1
2016-08-31,16.24,$1.90,8.54
2016-05-31,15.3,$1.94,7.9
2016-02-29,17.27,$1.73,9.96
2015-11-30,15.33,$1.94,7.91
2015-08-31,16.73,$1.40,11.92
2015-05-31,19.99,$1.27,15.74
2015-02-28,17.9,$1.13,15.81
2014-11-30,18.88,$0.91,20.77
2014-08-31,19.07,$0.86,22.05
2014-05-31,21.75,$0.72,30.08
2014-02-28,20.95,$0.69,30.43
2013-11-30,20.35,$0.63,32.52
2013-08-31,15.71,$0.74,21.14
2013-05-31,13.79,$0.76,18.17
2013-02-28,13.82,$0.72,19.17
2012-11-30,12.33,$0.65,18.85
2012-08-31,10.35,$0.72,14.31
2012-05-31,9.23,$0.91,10.16
2012-02-29,8.8,$0.77,11.38
2011-11-30,9.37,$0.91,10.34
2011-08-31,9.52,$0.76,12.54
2011-05-31,9.14,$0.39,23.26
2011-02-28,8.13,$0.60,13.63
2010-11-30,8.03,$0.19,43.15
2010-08-31,6.1,$0.42,14.63
2010-05-31,6.93,$0.57,12.06
2010-02-28,5.85,$0.54,10.85
2009-11-30,5.39,$0.45,12.1
