Traeger Price to Free Cash Flow Ratio Historical Data,Traeger Price to Free Cash Flow Ratio Historical Data,Traeger Price to Free Cash Flow Ratio Historical Data,Traeger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.76,,18.68
2024-12-31,2.39,$0.09,25.37
2024-09-30,3.68,$0.18,20.83
2024-06-30,2.4,$0.17,13.9
2024-03-31,2.53,$0.42,5.96
2023-12-31,2.73,$0.38,7.17
2023-09-30,2.73,$0.32,8.53
2023-06-30,4.25,$0.41,10.46
2023-03-31,4.11,$0.14,30.24
2022-12-31,2.82,$-0.11,0.0
2022-09-30,2.82,$-0.46,0.0
2022-06-30,4.25,$-0.81,0.0
