"PURPLE INNOVATION, INC Price to Free Cash Flow Ratio Historical Data","PURPLE INNOVATION, INC Price to Free Cash Flow Ratio Historical Data","PURPLE INNOVATION, INC Price to Free Cash Flow Ratio Historical Data","PURPLE INNOVATION, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.85,,0.0
2024-12-31,0.78,$-0.23,0.0
2024-09-30,0.99,$-0.34,0.0
2024-06-30,1.04,$-0.54,0.0
2024-03-31,1.74,$-0.69,0.0
2023-12-31,1.03,$-0.66,0.0
2023-09-30,1.71,$-0.68,0.0
2023-06-30,2.78,$-0.27,0.0
2023-03-31,2.64,$-0.11,0.0
2022-12-31,4.79,$-0.78,0.0
2022-09-30,4.05,$-1.38,0.0
2022-06-30,3.06,$-1.97,0.0
2022-03-31,5.85,$-1.79,0.0
2021-12-31,13.27,$-1.26,0.0
2021-09-30,21.02,$-0.89,0.0
2021-06-30,26.41,$-1.06,0.0
2021-03-31,31.65,$1.23,25.67
2020-12-31,32.94,$1.36,24.2
2020-09-30,24.86,$2.70,9.2
2020-06-30,18.0,$3.56,5.06
2020-03-31,5.68,$2.15,2.65
2019-12-31,8.71,$1.24,7.02
2019-09-30,7.53,$0.69,10.86
2019-06-30,6.75,$0.08,88.12
2019-03-31,4.64,$-2.84,0.0
2018-12-31,5.89,$-3.92,0.0
2018-09-30,5.8,$-5.14,0.0
2018-06-30,8.5,$-4.52,0.0
2018-03-31,8.22,$-2.49,0.0
2017-12-31,10.05,$-0.31,0.0
2017-09-30,10.03,$0.33,30.82
2017-06-30,9.95,$-0.01,0.0
2017-03-31,10.0,$-0.13,0.0
2016-12-31,9.94,$-0.17,0.0
2016-09-30,9.88,$-0.08,0.0
