Manitex Price to Free Cash Flow Ratio Historical Data,Manitex Price to Free Cash Flow Ratio Historical Data,Manitex Price to Free Cash Flow Ratio Historical Data,Manitex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,5.72,,49.23
2024-09-30,5.63,$0.12,48.45
2024-06-30,4.43,$0.21,21.6
2024-03-31,6.86,$-0.01,0.0
2023-12-31,8.74,$-0.18,0.0
2023-09-30,4.67,$-1.93,0.0
2023-06-30,5.44,$-0.45,0.0
2023-03-31,5.21,$-2.69,0.0
2022-12-31,4.0,$-2.87,0.0
2022-09-30,5.73,$-1.00,0.0
2022-06-30,6.49,$-2.61,0.0
2022-03-31,7.28,$0.02,292.37
2021-12-31,6.36,$0.33,19.28
2021-09-30,7.18,$0.45,16.06
2021-06-30,7.29,$0.52,14.1
2021-03-31,7.89,$0.64,12.4
2020-12-31,5.16,$0.65,7.92
2020-09-30,4.17,$0.89,4.7
2020-06-30,4.97,$0.88,5.68
2020-03-31,4.13,$0.53,7.78
2019-12-31,5.95,$0.46,12.91
2019-09-30,6.65,$-0.24,0.0
2019-06-30,6.11,$0.28,21.76
2019-03-31,7.65,$0.20,37.63
2018-12-31,5.68,$-0.01,0.0
2018-09-30,10.53,$0.75,14.03
2018-06-30,12.48,$0.35,36.13
2018-03-31,11.43,$1.27,9.03
2017-12-31,9.6,$1.27,7.58
2017-09-30,8.98,$1.47,6.13
2017-06-30,6.98,$1.03,6.78
2017-03-31,6.7,$-1.08,0.0
2016-12-31,6.86,$0.41,16.64
2016-09-30,5.51,$-0.20,0.0
2016-06-30,6.93,$0.53,13.18
2015-12-31,5.95,$0.71,8.33
2015-09-30,5.62,$0.69,8.13
2015-06-30,7.64,$-0.76,0.0
2015-03-31,9.73,$-0.73,0.0
2014-12-31,12.71,$-0.06,0.0
2016-03-31,5.23,$-1.47,0.0
2014-09-30,11.29,$1.22,9.27
2014-06-30,16.24,$-0.20,0.0
2014-03-31,16.3,$0.15,111.49
2013-12-31,15.88,$0.19,85.79
2013-09-30,10.93,$-1.47,0.0
2013-06-30,10.95,$-0.38,0.0
2013-03-31,12.41,$-0.66,0.0
2012-12-31,7.14,$-0.63,0.0
2012-09-30,7.23,$-0.46,0.0
2012-06-30,8.4,$-0.53,0.0
2012-03-31,7.33,$-0.67,0.0
2011-12-31,4.24,$-0.50,0.0
2011-09-30,3.56,$-0.39,0.0
2011-06-30,5.52,$-0.42,0.0
2011-03-31,5.5,$-0.24,0.0
2010-12-31,3.85,$-0.22,0.0
2010-09-30,2.39,$-0.29,0.0
2010-06-30,1.8,$-0.26,0.0
2009-12-31,1.92,$0.19,10.12
2009-09-30,2.35,$0.11,20.52
