Hingham Institution For Savings Price to Free Cash Flow Ratio Historical Data,Hingham Institution For Savings Price to Free Cash Flow Ratio Historical Data,Hingham Institution For Savings Price to Free Cash Flow Ratio Historical Data,Hingham Institution For Savings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,237.0,,37.0
2024-09-30,242.7,$6.41,37.89
2024-06-30,177.96,$8.06,22.09
2024-03-31,172.95,$8.99,19.23
2023-12-31,192.72,$9.10,21.17
2023-09-30,183.78,$11.61,15.83
2023-06-30,209.19,$15.08,13.87
2023-03-31,228.33,$17.64,12.94
2022-12-31,269.92,$24.22,11.15
2022-09-30,243.89,$27.38,8.91
2022-06-30,275.05,$27.59,9.97
2022-03-31,332.07,$29.47,11.27
2021-12-31,406.27,$27.36,14.85
2021-09-30,324.3,$26.02,12.46
2021-06-30,279.33,$22.53,12.4
2021-03-31,272.38,$22.25,12.24
2020-12-31,207.34,$20.34,10.19
2020-09-30,175.24,$17.78,9.86
2020-06-30,159.37,$19.15,8.32
2020-03-31,137.3,$15.13,9.08
2019-12-31,198.07,$14.90,13.3
2019-09-30,177.71,$15.80,11.25
2019-06-30,185.83,$15.39,12.07
2019-03-31,161.06,$15.45,10.43
2018-12-31,184.38,$15.89,11.61
2018-09-30,204.62,$15.00,13.64
2018-06-30,204.18,$13.85,14.74
2018-03-31,191.13,$12.97,14.73
2017-12-31,191.42,$12.46,15.36
2017-09-30,175.64,$12.39,14.18
2017-06-30,167.64,$12.19,13.76
2017-03-31,162.66,$11.98,13.58
2016-12-31,180.42,$11.63,15.51
2016-09-30,126.69,$11.10,11.41
2016-06-30,112.16,$10.00,11.22
2016-03-31,108.41,$9.79,11.07
2015-12-31,108.51,$9.19,11.8
2015-09-30,104.82,$14.70,7.13
2015-06-30,103.73,$12.73,8.15
2015-03-31,88.96,$11.57,7.69
2014-12-31,77.02,$8.44,9.13
2014-09-30,71.94,$6.37,11.29
2014-06-30,69.81,$6.37,10.95
2014-03-31,68.75,$6.37,10.79
2013-12-31,68.26,$6.37,10.71
2013-09-30,60.56,$0.04,1466.38
2013-06-30,58.58,$1.74,33.64
2013-03-31,59.93,$1.96,30.61
2012-12-31,53.39,$4.45,12.0
2012-09-30,54.74,$7.27,7.53
2012-06-30,51.15,$7.09,7.21
2012-03-31,47.54,$7.37,6.45
2011-12-31,39.84,$6.43,6.2
2011-09-30,39.53,$8.57,4.61
2011-06-30,43.68,$7.04,6.2
2011-03-31,42.31,$6.56,6.45
2010-12-31,36.15,$5.00,7.23
2010-09-30,30.37,0,0.0
2010-06-30,29.62,0,0.0
2010-03-31,27.62,0,0.0
2009-12-31,24.12,0,0.0
