Gold Royalty Price to Free Cash Flow Ratio Historical Data,Gold Royalty Price to Free Cash Flow Ratio Historical Data,Gold Royalty Price to Free Cash Flow Ratio Historical Data,Gold Royalty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.34,,0.0
2024-09-30,1.36,$-0.20,0.0
2024-06-30,1.41,$-0.51,0.0
2024-03-31,1.88,$-0.23,0.0
2023-12-31,1.47,$-0.25,0.0
2023-09-30,1.28,$-0.04,0.0
2023-06-30,1.77,$0.06,27.79
2023-03-31,2.16,$0.04,50.82
2022-12-31,2.33,0,0.0
2022-09-30,2.54,$-0.08,0.0
2022-06-30,2.24,$-0.03,0.0
2022-03-31,4.09,$-0.08,0.0
2021-12-31,4.87,$-0.08,0.0
