Farmers & Merchants Bancorp Price to Free Cash Flow Ratio Historical Data,Farmers & Merchants Bancorp Price to Free Cash Flow Ratio Historical Data,Farmers & Merchants Bancorp Price to Free Cash Flow Ratio Historical Data,Farmers & Merchants Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.32,,10.63
2024-12-31,29.45,$2.29,12.87
2024-09-30,27.42,$2.77,9.89
2024-06-30,22.79,$1.55,14.73
2024-03-31,21.88,$0.89,24.49
2023-12-31,24.1,$0.85,28.44
2023-09-30,16.7,$1.55,10.75
2023-06-30,21.24,$1.33,15.96
2023-03-31,22.94,$2.40,9.55
2022-12-31,25.42,$2.94,8.64
2022-09-30,24.94,$2.12,11.76
2022-06-30,30.38,$3.46,8.78
2022-03-31,33.09,$2.90,11.41
2021-12-31,29.9,$2.87,10.41
2021-09-30,20.28,$3.27,6.21
2021-06-30,19.6,$2.66,7.36
2021-03-31,22.4,$2.38,9.41
2020-12-31,20.36,$2.20,9.23
2020-09-30,17.58,$1.59,11.04
2020-06-30,18.51,$1.52,12.19
2020-03-31,22.4,$1.64,13.69
2019-12-31,25.9,$1.90,13.61
2019-09-30,22.18,$1.64,13.52
2019-06-30,24.74,$1.22,20.36
2019-03-31,25.43,$1.74,14.58
2018-12-31,32.35,$0.90,36.09
2018-09-30,35.54,$1.41,25.28
2018-06-30,33.67,$1.57,21.46
2018-03-31,33.58,$1.54,21.82
