Fair Isaac Price to Free Cash Flow Ratio Historical Data,Fair Isaac Price to Free Cash Flow Ratio Historical Data,Fair Isaac Price to Free Cash Flow Ratio Historical Data,Fair Isaac Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1853.46,,68.76
2024-12-31,1990.93,$26.96,73.86
2024-09-30,1943.52,$24.22,80.24
2024-06-30,1488.66,$22.17,67.16
2024-03-31,1249.61,$18.73,66.71
2023-12-31,1164.01,$19.80,58.78
2023-09-30,868.53,$18.32,47.41
2023-06-30,809.21,$16.79,48.19
2023-03-31,702.69,$16.61,42.29
2022-12-31,598.58,$17.82,33.59
2022-09-30,412.01,$19.11,21.56
2022-06-30,400.9,$12.02,33.36
2022-03-31,466.46,$15.58,29.94
2021-12-31,433.67,$16.02,27.07
2021-09-30,397.93,$14.23,27.97
2021-06-30,502.68,$20.67,24.32
2021-03-31,486.05,$15.81,30.75
2020-12-31,511.04,$12.46,41.0
2020-09-30,425.38,$11.46,37.13
2020-06-30,418.04,$9.94,42.06
2020-03-31,307.69,$8.59,35.84
2019-12-31,374.68,$8.19,45.74
2019-09-30,303.52,$7.80,38.9
2019-06-30,314.02,$6.54,48.03
2019-03-31,271.63,$6.85,39.63
2018-12-31,187.0,$6.76,27.65
2018-09-30,228.55,$6.15,37.16
2018-06-30,193.32,$5.98,32.33
2018-03-31,169.37,$5.74,29.52
2017-12-31,153.2,$6.29,24.37
2017-09-30,140.5,$6.38,22.01
2017-06-30,139.41,$5.58,25.0
2017-03-31,128.95,$5.99,21.52
2016-12-31,119.2,$5.28,22.57
2016-09-30,124.55,$5.83,21.37
2016-06-30,112.96,$6.74,16.76
2016-03-31,106.02,$5.34,19.87
2015-12-31,94.1,$5.29,17.78
2015-09-30,84.41,$3.73,22.6
2015-06-30,90.66,$4.01,22.59
2015-03-31,88.58,$3.67,24.12
2014-12-31,72.17,$3.80,19.01
2014-09-30,54.99,$4.66,11.8
2014-06-30,63.61,$3.64,17.45
2014-03-31,55.17,$3.67,15.03
2013-12-31,62.64,$3.27,19.15
2013-09-30,55.09,$3.09,17.86
2013-06-30,45.65,$2.62,17.4
2013-03-31,45.5,$2.39,19.01
2012-12-31,41.83,$2.53,16.53
2012-09-30,44.03,$2.89,15.23
2012-06-30,42.04,$3.11,13.52
2012-03-31,43.63,$3.63,12.02
2011-12-31,35.6,$3.18,11.2
2011-09-30,21.67,$3.05,7.1
2011-06-30,29.96,$2.76,10.84
2011-03-31,31.34,$2.01,15.61
2010-12-31,23.15,$2.21,10.47
2010-09-30,24.41,$2.00,12.21
2010-06-30,21.55,$2.21,9.73
2010-03-31,25.04,$2.64,9.47
2009-12-31,21.04,$3.47,6.06
