Domo Price to Free Cash Flow Ratio Historical Data,Domo Price to Free Cash Flow Ratio Historical Data,Domo Price to Free Cash Flow Ratio Historical Data,Domo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.29,,0.0
2024-10-31,7.95,$-0.57,0.0
2024-07-31,8.36,$-0.35,0.0
2024-04-30,7.53,$-0.19,0.0
2024-01-31,10.87,$-0.25,0.0
2023-10-31,8.16,$-0.50,0.0
2023-07-31,17.87,$-0.55,0.0
2023-04-30,15.88,$-0.60,0.0
2023-01-31,15.51,$-0.55,0.0
2022-10-31,17.67,$-0.40,0.0
2022-07-31,28.01,$-0.21,0.0
2022-04-30,41.42,$-0.08,0.0
2022-01-31,46.96,$-0.19,0.0
2021-10-31,88.35,$-0.10,0.0
2021-07-31,88.33,$-0.14,0.0
2021-04-30,64.29,$-0.38,0.0
2021-01-31,63.39,$-0.74,0.0
2020-10-31,31.77,$-1.37,0.0
2020-07-31,32.18,$-2.04,0.0
2020-04-30,19.45,$-2.55,0.0
2020-01-31,24.22,$-3.09,0.0
2019-10-31,16.08,$-3.62,0.0
2019-07-31,27.74,$0.27,102.02
2019-04-30,38.31,$-6.25,0.0
