Arcturus Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Arcturus Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Arcturus Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Arcturus Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.84,,0.0
2024-12-31,16.97,$-2.24,0.0
2024-09-30,23.21,$-2.28,0.0
2024-06-30,24.35,$-2.66,0.0
2024-03-31,33.77,$0.34,98.63
2023-12-31,31.53,$-0.79,0.0
2023-09-30,25.55,$5.16,4.96
2023-06-30,28.68,$4.73,6.06
2023-03-31,23.97,$1.49,16.11
2022-12-31,16.96,$0.90,18.93
2022-09-30,14.82,$-6.65,0.0
2022-06-30,15.74,$-5.67,0.0
2022-03-31,26.96,$-5.56,0.0
2021-12-31,37.01,$-5.26,0.0
2021-09-30,47.78,$-4.17,0.0
2021-06-30,33.84,$-3.98,0.0
2021-03-31,41.3,$-3.01,0.0
2020-12-31,43.38,$-2.20,0.0
2020-09-30,42.9,$-2.27,0.0
2020-06-30,46.74,$-2.06,0.0
2020-03-31,13.59,$-0.88,0.0
2019-12-31,10.87,$-0.60,0.0
2019-09-30,10.27,$-0.55,0.0
2019-06-30,9.44,$-0.95,0.0
2019-03-31,6.83,$-2.68,0.0
2018-12-31,4.53,$-2.21,0.0
2018-09-30,8.84,$0.82,10.81
2018-06-30,8.48,$0.71,11.97
2018-03-31,5.5,$0.97,5.68
2017-12-31,7.95,$-0.22,0.0
2017-09-30,7.07,$-0.52,0.0
2017-06-30,7.84,$-1.41,0.0
2017-03-31,7.98,$-1.87,0.0
2016-12-31,14.7,$-1.75,0.0
2016-09-30,17.29,$-5.19,0.0
2016-06-30,31.43,$-5.29,0.0
2016-03-31,26.53,$-5.46,0.0
2015-12-31,43.96,$-5.93,0.0
2015-09-30,42.28,$-8.60,0.0
2015-06-30,45.78,$-11.64,0.0
2015-03-31,39.41,$-13.23,0.0
2014-12-31,26.11,$-14.55,0.0
2014-09-30,108.08,$-14.05,0.0
2014-06-30,121.17,$-10.39,0.0
2014-03-31,127.05,$-8.00,0.0
