Ooma Price to Free Cash Flow Ratio Historical Data,Ooma Price to Free Cash Flow Ratio Historical Data,Ooma Price to Free Cash Flow Ratio Historical Data,Ooma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.62,,19.77
2024-10-31,11.96,$0.69,17.36
2024-07-31,10.4,$0.47,22.13
2024-04-30,7.06,$0.32,21.78
2024-01-31,10.82,$0.24,45.25
2023-10-31,10.91,$0.15,70.75
2023-07-31,15.0,$0.19,79.2
2023-04-30,12.3,$0.17,73.08
2023-01-31,14.37,$0.15,98.83
2022-10-31,16.23,$0.09,178.55
2022-07-31,11.93,$0.06,207.12
2022-04-30,12.84,$0.09,145.25
2022-01-31,18.04,$0.10,172.8
2021-10-31,23.1,$0.14,169.48
2021-07-31,18.55,$0.19,97.38
2021-04-30,16.53,$0.21,79.32
2021-01-31,13.47,$0.05,249.44
2020-10-31,14.11,$-0.09,0.0
2020-07-31,15.14,$-0.22,0.0
2020-04-30,11.66,$-0.37,0.0
2020-01-31,13.13,$-0.51,0.0
2019-10-31,11.35,$-0.56,0.0
2019-07-31,13.03,$-0.60,0.0
2019-04-30,13.49,$-0.60,0.0
2019-01-31,15.11,$-0.30,0.0
2018-10-31,15.04,$-0.16,0.0
2018-07-31,16.1,$-0.05,0.0
2018-04-30,10.65,$0.05,195.41
2018-01-31,10.25,$0.04,274.06
2017-10-31,10.5,$0.04,252.4
2017-07-31,8.3,$0.05,178.88
2017-04-30,11.95,$0.00,0.0
2017-01-31,9.65,$-0.07,0.0
2016-10-31,8.65,$-0.30,0.0
2016-07-31,8.5,$-0.07,0.0
2016-04-30,7.06,$-0.42,0.0
