Maxeon Solar Technologies Price to Free Cash Flow Ratio Historical Data,Maxeon Solar Technologies Price to Free Cash Flow Ratio Historical Data,Maxeon Solar Technologies Price to Free Cash Flow Ratio Historical Data,Maxeon Solar Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.97,,0.0
2024-09-30,0.1,$-689.21,0.0
2024-06-30,0.85,$-572.71,0.0
2024-03-31,3.33,$-799.65,0.0
2023-12-31,7.17,$-693.61,0.0
2023-09-30,11.59,$74.65,0.16
2023-06-30,28.16,$-205.67,0.0
2023-03-31,26.54,$-203.97,0.0
2022-12-31,16.06,$-145.92,0.0
2022-09-30,23.77,$-290.99,0.0
2022-06-30,13.29,$-305.51,0.0
2022-03-31,14.48,$-261.95,0.0
2021-12-31,13.9,$-425.76,0.0
2021-09-30,17.63,$-673.01,0.0
2021-06-30,21.43,"$-1,088.62",0.0
