Semler Scientific Price to Free Cash Flow Ratio Historical Data,Semler Scientific Price to Free Cash Flow Ratio Historical Data,Semler Scientific Price to Free Cash Flow Ratio Historical Data,Semler Scientific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.82,,0.0
2024-12-31,54.0,$-20.69,0.0
2024-09-30,23.55,$-6.03,0.0
2024-06-30,34.4,$-5.14,0.0
2024-03-31,29.21,$3.31,8.84
2023-12-31,44.29,$2.62,16.89
2023-09-30,25.37,$2.12,11.96
2023-06-30,26.24,$2.47,10.62
2023-03-31,26.8,$1.79,14.99
2022-12-31,33.0,$1.91,17.25
2022-09-30,37.55,$1.99,18.86
2022-06-30,28.18,$1.94,14.54
2022-03-31,49.56,$1.49,33.32
2021-12-31,91.65,$1.87,48.97
2021-09-30,125.03,$2.32,53.9
2021-06-30,1.54,$1.84,0.84
2021-03-31,1.54,$1.89,0.82
2020-12-31,1.54,$1.78,0.86
2020-09-30,1.54,$1.56,0.99
2020-06-30,1.54,$1.66,0.93
2020-03-31,1.54,$1.65,0.93
2019-12-31,1.54,$1.37,1.12
2019-09-30,1.54,$1.20,1.28
2019-06-30,1.54,$0.78,1.99
2019-03-31,1.54,$0.72,2.14
2018-12-31,1.54,$0.51,3.05
2018-09-30,1.54,$0.32,4.76
2018-06-30,1.54,$0.23,6.7
2018-03-31,1.54,$0.05,33.24
2017-12-31,1.54,$-0.06,0.0
2017-09-30,1.54,$-0.14,0.0
2017-06-30,1.54,$-0.27,0.0
2017-03-31,1.54,$-0.46,0.0
2016-12-31,1.54,$-0.51,0.0
2016-09-30,1.54,$-0.91,0.0
2016-06-30,1.37,$-0.88,0.0
2016-03-31,2.06,$-0.96,0.0
2015-12-31,2.56,$-1.06,0.0
2015-09-30,2.9,$-1.11,0.0
2015-06-30,3.23,$-1.12,0.0
2015-03-31,3.5,$-0.86,0.0
2014-12-31,1.96,$-1.04,0.0
