VAREX IMAGING Price to Free Cash Flow Ratio Historical Data,VAREX IMAGING Price to Free Cash Flow Ratio Historical Data,VAREX IMAGING Price to Free Cash Flow Ratio Historical Data,VAREX IMAGING Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.86,,20.36
2024-12-31,14.59,$0.63,23.1
2024-09-30,11.92,$0.50,23.84
2024-06-30,14.73,$0.84,17.48
2024-03-31,18.1,$1.37,13.24
2023-12-31,20.5,$1.97,10.42
2023-09-30,18.79,$1.74,10.78
2023-06-30,23.57,$1.10,21.51
2023-03-31,18.19,$0.32,56.61
2022-12-31,20.3,$-0.49,0.0
2022-09-30,21.14,$-0.11,0.0
2022-06-30,21.39,$0.92,23.25
2022-03-31,21.29,$1.50,14.17
2021-12-31,31.55,$2.01,15.72
2021-09-30,28.2,$1.92,14.66
2021-06-30,26.82,$0.31,87.13
2021-03-31,20.49,$-0.21,0.0
2020-12-31,16.68,$-0.58,0.0
2020-09-30,12.72,$-0.27,0.0
2020-06-30,15.15,$0.56,27.12
2020-03-31,22.71,$0.94,24.06
2019-12-31,29.81,$1.30,22.87
2019-09-30,28.54,$1.35,21.15
2019-06-30,30.65,$1.28,23.92
2019-03-31,33.88,$1.34,25.25
2018-12-31,23.68,$1.14,20.74
2018-09-30,28.66,$1.69,16.96
2018-06-30,37.09,$1.41,26.22
2018-03-31,35.78,$1.76,20.37
2017-12-31,40.17,$2.43,16.54
