Financial Institutions Price to Free Cash Flow Ratio Historical Data,Financial Institutions Price to Free Cash Flow Ratio Historical Data,Financial Institutions Price to Free Cash Flow Ratio Historical Data,Financial Institutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.68,,4.06
2024-12-31,27.29,$6.32,4.32
2024-09-30,25.21,$1.47,17.09
2024-06-30,18.9,$2.58,7.34
2024-03-31,18.09,$0.86,21.15
2023-12-31,20.15,$0.51,39.46
2023-09-30,15.69,$4.51,3.48
2023-06-30,14.42,$3.92,3.68
2023-03-31,17.35,$5.73,3.03
2022-12-31,21.62,$8.09,2.67
2022-09-30,21.1,$9.30,2.27
2022-06-30,22.55,$7.56,2.98
2022-03-31,25.82,$5.69,4.54
2021-12-31,27.01,$4.21,6.42
2021-09-30,25.81,$3.52,7.33
2021-06-30,25.03,$3.66,6.84
2021-03-31,25.06,$3.50,7.15
2020-12-31,18.45,$2.47,7.46
2020-09-30,12.48,$2.08,6.01
2020-06-30,14.85,$2.18,6.82
2020-03-31,14.26,$2.68,5.33
2019-12-31,24.78,$3.40,7.3
2019-09-30,23.12,$3.29,7.02
2019-06-30,22.15,$3.83,5.78
2019-03-31,20.47,$3.83,5.34
2018-12-31,19.19,$3.94,4.87
2018-09-30,23.24,$3.79,6.14
2018-06-30,24.17,$3.31,7.31
2018-03-31,21.59,$3.48,6.2
2017-12-31,22.51,$2.57,8.76
2017-09-30,20.71,$2.30,9.01
2017-06-30,21.26,$2.50,8.49
2017-03-31,23.35,$1.89,12.38
2016-12-31,24.08,$2.76,8.74
2016-09-30,18.97,$2.73,6.96
2016-06-30,18.11,$2.52,7.19
2016-03-31,20.05,$2.35,8.54
2015-12-31,19.17,$2.54,7.54
2015-09-30,16.84,$1.92,8.77
2015-06-30,16.75,$2.08,8.06
2015-03-31,15.33,$2.05,7.46
2014-12-31,16.67,$2.26,7.38
2014-09-30,14.78,$2.62,5.63
2014-06-30,15.27,$2.26,6.76
2014-03-31,14.89,$3.10,4.8
2013-12-31,15.85,$2.49,6.36
2013-09-30,13.02,$2.30,5.67
2013-06-30,11.6,$2.32,5.01
2013-03-31,12.46,$2.37,5.25
2012-12-31,11.52,$2.44,4.72
2012-09-30,11.43,$2.63,4.35
2012-06-30,10.27,$2.47,4.15
2012-03-31,9.75,$2.00,4.88
2011-12-31,9.66,$2.21,4.37
2011-09-30,8.46,$2.94,2.88
2011-06-30,9.66,$3.16,3.06
2011-03-31,10.23,$3.42,3.0
2010-12-31,11.02,$3.10,3.56
2010-09-30,10.21,$2.11,4.85
2010-06-30,10.2,$2.30,4.43
2010-03-31,8.35,$2.37,3.52
2009-12-31,6.68,$2.04,3.27
