NewMarket Price to Free Cash Flow Ratio Historical Data,NewMarket Price to Free Cash Flow Ratio Historical Data,NewMarket Price to Free Cash Flow Ratio Historical Data,NewMarket Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,538.34,,11.13
2024-12-31,528.35,$48.38,10.92
2024-09-30,549.39,$46.89,11.72
2024-06-30,510.95,$50.27,10.16
2024-03-31,625.95,$54.33,11.52
2023-12-31,536.21,$55.15,9.72
2023-09-30,445.23,$46.44,9.59
2023-06-30,391.49,$30.25,12.94
2023-03-31,353.37,$15.96,22.14
2022-12-31,299.38,$5.23,57.28
2022-09-30,287.54,$-1.90,0.0
2022-06-30,285.63,$2.22,128.63
2022-03-31,305.64,$4.82,63.41
2021-12-31,320.78,$8.03,39.93
2021-09-30,315.05,$10.56,29.83
2021-06-30,297.51,$19.74,15.07
2021-03-31,349.26,$17.90,19.51
2020-12-31,364.14,$19.24,18.93
2020-09-30,311.48,$23.47,13.27
2020-06-30,362.53,$18.44,19.66
2020-03-31,344.93,$28.07,12.29
2019-12-31,436.07,$24.88,17.53
2019-09-30,421.47,$24.23,17.39
2019-06-30,356.47,$20.12,17.71
2019-03-31,383.8,$12.58,30.52
2018-12-31,363.33,$10.71,33.94
2018-09-30,355.95,$7.19,49.51
2018-06-30,353.51,$9.32,37.93
2018-03-31,349.49,$7.90,44.25
2017-12-31,344.31,$7.96,43.27
2017-09-30,367.2,$9.26,39.67
2017-06-30,395.51,$7.97,49.65
2017-03-31,387.84,$12.91,30.05
2016-12-31,361.26,$17.80,20.29
2016-09-30,364.58,$16.36,22.28
2016-06-30,350.56,$16.13,21.73
2016-03-31,333.89,$12.52,26.67
2015-12-31,319.49,$11.56,27.63
2015-09-30,298.32,$12.60,23.68
2015-06-30,369.59,$14.71,25.13
2015-03-31,396.62,$17.12,23.17
2014-12-31,333.97,$13.83,24.15
2014-09-30,314.19,$14.16,22.2
2014-06-30,322.46,$14.69,21.95
2014-03-31,320.44,$15.32,20.92
2013-12-31,273.21,$16.52,16.54
2013-09-30,234.61,$17.68,13.27
2013-06-30,213.27,$18.30,11.65
2013-03-31,210.81,$14.13,14.92
2012-12-31,211.57,$17.46,12.12
2012-09-30,180.36,$15.81,11.41
2012-06-30,158.03,$14.67,10.77
2012-03-31,136.23,$14.28,9.54
2011-12-31,143.42,$9.56,15.0
2011-09-30,109.52,$8.81,12.43
2011-06-30,122.65,$5.89,20.83
2011-03-31,113.23,$5.76,19.67
2010-12-31,88.0,$8.71,10.1
2010-09-30,80.8,$3.51,23.05
2010-06-30,61.85,$3.52,17.58
2010-03-31,72.67,$5.54,13.13
2009-12-31,80.68,$8.96,9.01
