Kaiser Aluminum Price to Free Cash Flow Ratio Historical Data,Kaiser Aluminum Price to Free Cash Flow Ratio Historical Data,Kaiser Aluminum Price to Free Cash Flow Ratio Historical Data,Kaiser Aluminum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,69.14,,0.0
2024-12-31,70.27,$-0.47,0.0
2024-09-30,71.71,$3.47,20.66
2024-06-30,86.07,$7.39,11.65
2024-03-31,86.74,$10.12,8.57
2023-12-31,68.3,$5.20,13.13
2023-09-30,71.35,$-2.09,0.0
2023-06-30,67.27,$-11.09,0.0
2023-03-31,69.2,$-13.43,0.0
2022-12-31,69.8,$-12.23,0.0
2022-09-30,55.82,$-6.86,0.0
2022-06-30,71.19,$-0.07,0.0
2022-03-31,84.09,$1.07,78.59
2021-12-31,83.24,$1.47,56.82
2021-09-30,95.86,$2.80,34.22
2021-06-30,107.94,$4.93,21.88
2021-03-31,95.96,$6.52,14.71
2020-12-31,85.27,$9.76,8.74
2020-09-30,45.73,$10.77,4.24
2020-06-30,62.21,$12.12,5.13
2020-03-31,58.0,$12.03,4.82
2019-12-31,92.23,$10.63,8.67
2019-09-30,81.83,$8.00,10.22
2019-06-30,80.2,$4.21,19.07
2019-03-31,85.54,$4.73,18.08
2018-12-31,72.47,$4.55,15.94
2018-09-30,88.0,$3.01,29.29
2018-06-30,83.6,$4.77,17.53
2018-03-31,80.58,$4.84,16.64
2017-12-31,84.92,$3.86,22.01
2017-09-30,81.56,$6.64,12.28
2017-06-30,69.64,$5.26,13.24
2017-03-31,62.49,$4.61,13.56
2016-12-31,60.38,$4.96,12.17
2016-09-30,66.8,$4.49,14.89
2016-06-30,69.45,$5.86,11.85
2016-03-31,64.61,$5.59,11.56
2015-12-31,63.55,$5.62,11.32
2015-09-30,60.66,$3.92,15.49
2015-06-30,62.51,$2.64,23.64
2015-03-31,57.56,$2.62,21.95
2014-12-31,53.17,$3.48,15.28
2014-09-30,56.46,$3.30,17.1
2014-06-30,53.71,$3.17,16.95
2014-03-31,52.39,$2.93,17.86
2013-12-31,51.27,$2.15,23.89
2013-09-30,51.77,$3.72,13.91
2013-06-30,44.8,$3.83,11.69
2013-03-31,46.53,$4.12,11.29
2012-12-31,44.18,$5.63,7.84
2012-09-30,41.64,$5.94,7.01
2012-06-30,36.78,$3.66,10.04
2012-03-31,33.36,$2.49,13.4
2011-12-31,32.22,$1.63,19.73
2011-09-30,30.93,$-0.05,0.0
2011-06-30,37.99,$2.01,18.87
2011-03-31,34.09,$1.73,19.67
2010-12-31,34.49,$1.66,20.75
2010-09-30,29.31,$1.68,17.45
2010-06-30,23.61,$1.56,15.15
2010-03-31,26.11,$1.67,15.63
2009-12-31,28.0,$3.49,8.03
