UniQure Price to Free Cash Flow Ratio Historical Data,UniQure Price to Free Cash Flow Ratio Historical Data,UniQure Price to Free Cash Flow Ratio Historical Data,UniQure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.93,,0.0
2024-12-31,17.66,$-3.83,0.0
2024-09-30,4.93,$-3.82,0.0
2024-06-30,4.48,$-2.28,0.0
2024-03-31,5.2,$-2.81,0.0
2023-12-31,6.77,$-3.21,0.0
2023-09-30,6.71,$-3.41,0.0
2023-06-30,11.46,$-5.32,0.0
2023-03-31,20.14,$-4.54,0.0
2022-12-31,22.67,$-3.48,0.0
2022-09-30,18.76,$-3.39,0.0
2022-06-30,18.64,$-3.16,0.0
2022-03-31,18.07,$6.13,2.95
2021-12-31,20.74,$5.78,3.59
2021-09-30,32.01,$6.06,5.28
2021-06-30,30.8,$6.14,5.02
2021-03-31,33.69,$-3.43,0.0
2020-12-31,36.13,$-3.20,0.0
2020-09-30,36.83,$-3.03,0.0
2020-06-30,45.06,$-2.70,0.0
2020-03-31,47.45,$-2.66,0.0
2019-12-31,71.66,$-2.61,0.0
2019-09-30,39.36,$-2.47,0.0
2019-06-30,78.15,$-2.50,0.0
2019-03-31,59.65,$-2.21,0.0
2018-12-31,28.82,$-2.20,0.0
2018-09-30,36.39,$-2.22,0.0
2018-06-30,37.8,$-2.31,0.0
2018-03-31,23.5,$-2.71,0.0
2017-12-31,19.59,$-2.55,0.0
2017-09-30,9.6,$-2.74,0.0
2017-06-30,6.19,$-3.13,0.0
2017-03-31,5.78,$-3.32,0.0
2016-12-31,5.6,$-3.49,0.0
2016-09-30,7.65,$-4.01,0.0
2016-06-30,7.37,$-3.00,0.0
2016-03-31,11.88,$0.10,117.28
2015-12-31,16.54,$-0.01,0.0
2015-09-30,20.45,$0.54,38.1
2015-06-30,27.0,$-0.25,0.0
2015-03-31,24.32,$-3.22,0.0
2014-12-31,14.81,$-3.04,0.0
